source_id,region,table_id,table_label,short_name,applies_to,parameter_modules,raw_series,series_group,series_name,year,value,unit,cached_file
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Off-Road1,Total Energy Use (PJ),Off-Road1,2002,34.99,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Cars,Energy Use by Transportation Mode (PJ),Cars,2002,261.165949,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Light Trucks,Energy Use by Transportation Mode (PJ),Passenger Light Trucks,2002,141.345746,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Light Trucks,Energy Use by Transportation Mode (PJ),Freight Light Trucks,2002,46.980968,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Medium Trucks,Energy Use by Transportation Mode (PJ),Medium Trucks,2002,60.35779,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Heavy Trucks,Energy Use by Transportation Mode (PJ),Heavy Trucks,2002,128.840653,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Motorcycles,Energy Use by Transportation Mode (PJ),Motorcycles,2002,0.941814,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|School Buses,Energy Use by Transportation Mode (PJ),School Buses,2002,4.064946,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Urban Transit,Energy Use by Transportation Mode (PJ),Urban Transit,2002,10.274524,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Inter-City Buses,Energy Use by Transportation Mode (PJ),Inter-City Buses,2002,2.39861,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Air,Energy Use by Transportation Mode (PJ),Passenger Air,2002,44.568598,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
