source_id,year,report,raw_file,WEIGHT_CLASS,KG_FROM,KG_TO,FIT-ACTIVE,LB_FROM,LB_TO,EPA_GVWR,cached_zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,51001,52000,1361,112437.82461999998,114640.23999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,52001,53000,962,114642.44462,116844.85999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,53001,54000,564,116847.06461999999,119049.48,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,54001,55000,1515,119051.68461999999,121254.09999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,55001,56000,650,121256.30462,123458.71999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,56001,57000,294,123460.92461999999,125663.33999999998,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,57001,58000,1215,125665.54461999999,127867.95999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,58001,59000,683,127870.16461999998,130072.57999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,59001,60000,2121,130074.78461999999,132277.19999999998,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,60001,61000,370,132279.40462,134481.81999999998,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,61001,62000,640,134484.02461999998,136686.43999999997,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,62001,63000,1376,136688.64461999998,138891.06,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,63001,63500,19732,138893.26462,139993.37,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,63501,99999,19,139995.57462,220459.79537999997,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
