source_id,report_year,VEHICLE_CLASS,MAKE,MODEL,MODEL_YEAR,FIT_ACTIVE,FIT_INACTIVE,UNFIT,WRECKED,OUT_OF_PROV,SOLD,SUSPENDED,TEMPORARY,TOTAL,entry_type,mto_make_code,mto_model_code,model_year_from,model_year_to,canonical_make,canonical_model,vehicle_scope,nrcan_vehicle_class,nlr_atb_class,nrcan_ceud_class,match_method,mapping_status,evidence_source,supporting_rating_rows,review_notes,mapping_outcome,mapping_accepted
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1995,203,4317,611,2577,878,225,1,126,8938,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1996,47,372,59,86,43,4,10,6,627,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1996,157,1554,201,882,286,70,2,51,3203,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1997,66,412,62,111,69,11,2,14,747,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1997,192,1854,226,1042,313,74,1,74,3776,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1998,65,331,52,126,95,9,0,8,686,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1998,176,711,136,285,112,41,0,48,1509,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1999,91,500,132,101,91,15,0,12,942,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1999,197,1089,207,675,176,75,0,51,2470,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,2000,76,323,71,55,48,14,0,14,601,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,2000,234,1012,192,637,198,71,1,52,2397,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,2001,114,478,102,108,77,21,0,17,917,,,,,,,,,,,,,unmatched,,,,unmapped,False
