report_year,weight_basis,model_year,vintage,nrcan_ceud_class,nrcan_vehicle_class,fit_active_stock,aggregation_weight
2025,model_year,1985,,Car,Two-seater,172,0.09953703703703703
2025,model_year,1985,,Light Truck,Minivan,3,0.0028735632183908046
2025,model_year,1985,,Light Truck,Pickup truck: Small,26,0.02490421455938697
2025,model_year,1985,,Light Truck,Pickup truck: Standard,779,0.7461685823754789
2025,model_year,1985,,Light Truck,Sport utility vehicle: Small,12,0.011494252873563218
2025,model_year,1985,,Light Truck,Sport utility vehicle: Standard,10,0.009578544061302681
2025,model_year,1985,,Light Truck,Van: Cargo,62,0.05938697318007663
2025,model_year,1985,,Light Truck,Van: Passenger,152,0.14559386973180077
2025,model_year,1986,,Car,Compact,88,0.0351859256297481
2025,model_year,1986,,Car,Full-size,18,0.007197121151539384
2025,model_year,1986,,Car,Mid-size,149,0.059576169532187126
2025,model_year,1986,,Car,Minicompact,273,0.10915633746501399
2025,model_year,1986,,Car,Station wagon: Mid-size,6,0.0023990403838464614
2025,model_year,1986,,Car,Subcompact,1531,0.6121551379448221
2025,model_year,1986,,Car,Two-seater,436,0.17433026789284287
2025,model_year,1986,,Light Truck,Minivan,4,0.0030959752321981426
2025,model_year,1986,,Light Truck,Pickup truck: Small,39,0.03018575851393189
2025,model_year,1986,,Light Truck,Pickup truck: Standard,1028,0.7956656346749226
2025,model_year,1986,,Light Truck,Sport utility vehicle: Small,17,0.013157894736842105
2025,model_year,1986,,Light Truck,Sport utility vehicle: Standard,12,0.009287925696594427
2025,model_year,1986,,Light Truck,Van: Cargo,51,0.039473684210526314
2025,model_year,1986,,Light Truck,Van: Passenger,141,0.10913312693498452
2025,model_year,1987,,Car,Compact,69,0.02149532710280374
2025,model_year,1987,,Car,Full-size,139,0.04330218068535826
2025,model_year,1987,,Car,Mid-size,695,0.21651090342679127
2025,model_year,1987,,Car,Minicompact,290,0.09034267912772585
2025,model_year,1987,,Car,Station wagon: Mid-size,6,0.001869158878504673
2025,model_year,1987,,Car,Subcompact,1460,0.45482866043613707
2025,model_year,1987,,Car,Two-seater,551,0.17165109034267914
2025,model_year,1987,,Light Truck,Minivan,8,0.01680672268907563
2025,model_year,1987,,Light Truck,Pickup truck: Small,44,0.09243697478991597
2025,model_year,1987,,Light Truck,Pickup truck: Standard,181,0.3802521008403361
2025,model_year,1987,,Light Truck,Sport utility vehicle: Small,13,0.0273109243697479
2025,model_year,1987,,Light Truck,Sport utility vehicle: Standard,24,0.05042016806722689
2025,model_year,1987,,Light Truck,Van: Cargo,46,0.09663865546218488
2025,model_year,1987,,Light Truck,Van: Passenger,160,0.33613445378151263
2025,model_year,1988,,Car,Compact,130,0.05325686194182712
2025,model_year,1988,,Car,Full-size,158,0.06472757066775911
2025,model_year,1988,,Car,Mid-size,75,0.030725112658746414
2025,model_year,1988,,Car,Minicompact,184,0.07537894305612454
2025,model_year,1988,,Car,Subcompact,1334,0.546497337156903
2025,model_year,1988,,Car,Two-seater,560,0.2294141745186399
2025,model_year,1988,,Light Truck,Minivan,12,0.030927835051546393
2025,model_year,1988,,Light Truck,Pickup truck: Small,33,0.08505154639175258
2025,model_year,1988,,Light Truck,Pickup truck: Standard,140,0.36082474226804123
2025,model_year,1988,,Light Truck,Sport utility vehicle: Small,17,0.04381443298969072
2025,model_year,1988,,Light Truck,Sport utility vehicle: Standard,30,0.07731958762886598
2025,model_year,1988,,Light Truck,Van: Cargo,39,0.10051546391752578
2025,model_year,1988,,Light Truck,Van: Passenger,117,0.3015463917525773
2025,model_year,1989,,Car,Compact,97,0.04237658366098733
2025,model_year,1989,,Car,Full-size,133,0.0581039755351682
2025,model_year,1989,,Car,Mid-size,122,0.05329838357361293
2025,model_year,1989,,Car,Minicompact,297,0.12975098296199214
2025,model_year,1989,,Car,Subcompact,1375,0.6006989951944081
2025,model_year,1989,,Car,Two-seater,265,0.11577107907383137
2025,model_year,1989,,Light Truck,Minivan,15,0.01488095238095238
2025,model_year,1989,,Light Truck,Pickup truck: Small,41,0.040674603174603176
2025,model_year,1989,,Light Truck,Pickup truck: Standard,557,0.5525793650793651
2025,model_year,1989,,Light Truck,Sport utility vehicle: Small,192,0.19047619047619047
2025,model_year,1989,,Light Truck,Sport utility vehicle: Standard,27,0.026785714285714284
2025,model_year,1989,,Light Truck,Van: Cargo,51,0.050595238095238096
2025,model_year,1989,,Light Truck,Van: Passenger,125,0.12400793650793651
2025,model_year,1990,,Car,Compact,147,0.061301084236864055
2025,model_year,1990,,Car,Full-size,179,0.07464553794829024
2025,model_year,1990,,Car,Mid-size,101,0.042118432026688905
2025,model_year,1990,,Car,Minicompact,99,0.04128440366972477
2025,model_year,1990,,Car,Station wagon: Mid-size,26,0.010842368640533779
2025,model_year,1990,,Car,Subcompact,464,0.19349457881567975
2025,model_year,1990,,Car,Two-seater,1382,0.5763135946622185
2025,model_year,1990,,Light Truck,Minivan,15,0.017523364485981307
2025,model_year,1990,,Light Truck,Pickup truck: Small,40,0.04672897196261682
2025,model_year,1990,,Light Truck,Pickup truck: Standard,654,0.764018691588785
2025,model_year,1990,,Light Truck,Sport utility vehicle: Small,54,0.0630841121495327
2025,model_year,1990,,Light Truck,Sport utility vehicle: Standard,4,0.004672897196261682
2025,model_year,1990,,Light Truck,Van: Cargo,33,0.038551401869158876
2025,model_year,1990,,Light Truck,Van: Passenger,56,0.06542056074766354
2025,model_year,1991,,Car,Compact,122,0.09910641754670999
2025,model_year,1991,,Car,Full-size,277,0.22502030869212022
2025,model_year,1991,,Car,Mid-size,80,0.06498781478472786
2025,model_year,1991,,Car,Minicompact,68,0.05523964256701868
2025,model_year,1991,,Car,Station wagon: Mid-size,2,0.0016246953696181965
2025,model_year,1991,,Car,Subcompact,606,0.49228269699431354
2025,model_year,1991,,Car,Two-seater,76,0.06173842404549147
2025,model_year,1991,,Light Truck,Minivan,14,0.017676767676767676
2025,model_year,1991,,Light Truck,Pickup truck: Small,85,0.10732323232323232
2025,model_year,1991,,Light Truck,Pickup truck: Standard,554,0.6994949494949495
2025,model_year,1991,,Light Truck,Sport utility vehicle: Small,26,0.03282828282828283
2025,model_year,1991,,Light Truck,Sport utility vehicle: Standard,14,0.017676767676767676
2025,model_year,1991,,Light Truck,Van: Cargo,12,0.015151515151515152
2025,model_year,1991,,Light Truck,Van: Passenger,87,0.10984848484848485
2025,model_year,1992,,Car,Compact,329,0.3066169617893756
2025,model_year,1992,,Car,Full-size,191,0.17800559179869524
2025,model_year,1992,,Car,Mid-size,92,0.08574091332712022
2025,model_year,1992,,Car,Minicompact,148,0.13793103448275862
2025,model_year,1992,,Car,Subcompact,240,0.22367194780987884
2025,model_year,1992,,Car,Two-seater,73,0.06803355079217148
2025,model_year,1992,,Light Truck,Minivan,47,0.045764362220058426
2025,model_year,1992,,Light Truck,Pickup truck: Small,88,0.08568646543330087
2025,model_year,1992,,Light Truck,Pickup truck: Standard,692,0.6738072054527751
