report_year,weight_basis,model_year,vintage,nrcan_ceud_class,nlr_atb_class,fit_active_stock,aggregation_weight
2025,model_year,2019,,Light Truck,Small SUV,188114,0.5774034432906784
2025,model_year,2020,,Car,Compact,19489,0.24176901128892198
2025,model_year,2020,,Car,Midsize,61121,0.7582309887110781
2025,model_year,2020,,Light Truck,Midsize SUV,59483,0.23559489860583016
2025,model_year,2020,,Light Truck,Pickup,44623,0.1767387515842839
2025,model_year,2020,,Light Truck,Small SUV,148374,0.587666349809886
2025,model_year,2021,,Car,Compact,24470,0.39079468506452025
2025,model_year,2021,,Car,Midsize,38146,0.6092053149354798
2025,model_year,2021,,Light Truck,Midsize SUV,43440,0.17688952955692105
2025,model_year,2021,,Light Truck,Pickup,54275,0.22101011088171937
2025,model_year,2021,,Light Truck,Small SUV,147862,0.6021003595613595
2025,model_year,2022,,Car,Compact,38912,0.5715544718790853
2025,model_year,2022,,Car,Midsize,29169,0.4284455281209148
2025,model_year,2022,,Light Truck,Midsize SUV,38904,0.16383252899411274
2025,model_year,2022,,Light Truck,Pickup,58048,0.24445174385796464
2025,model_year,2022,,Light Truck,Small SUV,140510,0.5917157271479226
2025,model_year,2023,,Car,Compact,36456,0.48739271103505444
2025,model_year,2023,,Car,Midsize,38342,0.5126072889649456
2025,model_year,2023,,Light Truck,Midsize SUV,53276,0.20878957227843836
2025,model_year,2023,,Light Truck,Pickup,56297,0.22062892391619573
2025,model_year,2023,,Light Truck,Small SUV,145593,0.5705815038053659
2025,model_year,2024,,Car,Compact,38330,0.5547274121886623
2025,model_year,2024,,Car,Midsize,30767,0.44527258781133766
2025,model_year,2024,,Light Truck,Midsize SUV,68121,0.19468093315157284
2025,model_year,2024,,Light Truck,Pickup,75639,0.21616639659799206
2025,model_year,2024,,Light Truck,Small SUV,206151,0.5891526702504352
2025,model_year,2025,,Car,Compact,43671,0.5705718653235605
2025,model_year,2025,,Car,Midsize,32868,0.4294281346764395
2025,model_year,2025,,Light Truck,Midsize SUV,82137,0.24241002257736066
2025,model_year,2025,,Light Truck,Pickup,73350,0.21647704634999335
2025,model_year,2025,,Light Truck,Small SUV,183348,0.541112931072646
2025,model_year,2026,,Car,Compact,5874,0.3564536683051156
2025,model_year,2026,,Car,Midsize,10605,0.6435463316948844
2025,model_year,2026,,Light Truck,Midsize SUV,19005,0.3055024192640936
2025,model_year,2026,,Light Truck,Pickup,11516,0.18511790898423058
2025,model_year,2026,,Light Truck,Small SUV,31688,0.5093796717516758
