calendar_year_cert_co2e_megagrams,cert_offset,compliance_id,manufacturer_vehicle_cost_dollars,model_year,model_year_cert_co2e_megagrams,strategic_offset,target_co2e_megagrams
4733158.659716092,327245.48485687934,Mazda,9497840458.961557,2033,4733158.659716092,261796.38788550347,4405913.174859213
4383485.758094479,11759.170258692466,Mazda,9431758085.179205,2034,4383485.758094479,9407.336206953973,4371726.587835787
3991854.3829696043,-420501.0860209181,Mazda,9481783293.92871,2035,3991854.3829696043,-420501.0860209181,4412355.468990522
3900072.8016153113,-567834.5604409981,Mazda,9567184153.699583,2036,3900072.8016153113,-567834.5604409981,4467907.362056309
4313146.67769205,-187888.24633242376,Mazda,9557488017.42473,2037,4313146.67769205,-187888.24633242376,4501034.924024474
4036151.7489792244,-518197.6257284484,Mazda,9655911887.11248,2038,4036151.7489792244,-518197.6257284484,4554349.374707673
4129114.483498319,-459496.25908092223,Mazda,9679165652.514685,2039,4129114.483498319,-459496.25908092223,4588610.742579241
3919473.636996368,-715511.4607640952,Mazda,9754480550.090332,2040,3919473.636996368,-715511.4607640952,4634985.097760463
4290128.29515948,-363583.5758602377,Mazda,9723443189.4085,2041,4290128.29515948,-363583.5758602377,4653711.871019717
3970762.1212912854,-701307.7791662952,Mazda,9745723390.211378,2042,3970762.1212912854,-701307.7791662952,4672069.900457581
3974213.378231942,-671992.1409999267,Mazda,9662597559.75356,2043,3974213.378231942,-671992.1409999267,4646205.519231869
4229139.02442135,-470525.8239297746,Mazda,9705292333.748959,2044,4229139.02442135,-470525.8239297746,4699664.848351125
4231675.338873011,-507039.98658037186,Mazda,9749223441.630476,2045,4231675.338873011,-507039.98658037186,4738715.325453383
4470892.420029056,-336461.1648683548,Mazda,9836882112.184275,2046,4470892.420029056,-336461.1648683548,4807353.584897411
4465056.833183251,-344193.08301007655,Mazda,9806374966.279423,2047,4465056.833183251,-344193.08301007655,4809249.916193328
4175383.7127697966,-629417.6109650857,Mazda,9788123934.325935,2048,4175383.7127697966,-629417.6109650857,4804801.323734882
4380087.954711569,-452765.38253392186,Mazda,9789990389.777893,2049,4380087.954711569,-452765.38253392186,4832853.33724549
4257709.330166197,-622374.3053657562,Mazda,9865718303.45454,2050,4257709.330166197,-622374.3053657562,4880083.635531954
4258877.43172373,-675610.0681417305,Mazda,9939873609.154343,2051,4258877.43172373,-675610.0681417305,4934487.49986546
4703478.196170642,-280980.14863952156,Mazda,9986919695.646698,2052,4703478.196170642,-280980.14863952156,4984458.344810164
4676570.353342917,-361970.9219175726,Mazda,10061896070.301786,2053,4676570.353342917,-361970.9219175726,5038541.275260489
5300125.538790595,214996.4938776968,Mazda,10100568023.522245,2054,5300125.538790595,171997.19510215745,5085129.044912898
