id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,technology
110236,on,2020,netzero,low,low,ref,low,yes,low,1.166120246,other
110285,on,2020,netzero,high,low,ref,low,yes,low,1.166051981,other
110334,on,2020,netzero,ref,low,low,low,yes,low,1.166079848,other
110383,on,2020,netzero,low,low,low,low,yes,low,1.166120246,other
110432,on,2020,netzero,high,low,low,low,yes,low,1.166051981,other
110481,on,2020,netzero,ref,low,high,low,yes,low,1.166079848,other
110530,on,2020,netzero,low,low,high,low,yes,low,1.166120246,other
110579,on,2020,netzero,high,low,high,low,yes,low,1.166051981,other
110628,on,2020,netzero,ref,ref,ref,ref,yes,low,1.166074193,other
110677,on,2020,netzero,ref,high,ref,low,no,low,1.166068351,other
110726,on,2020,netzero,low,high,ref,low,no,low,1.166106556,other
110775,on,2020,netzero,high,high,ref,low,no,low,1.166039226,other
110824,on,2020,netzero,ref,high,low,low,no,low,1.166068351,other
110873,on,2020,netzero,low,high,low,low,no,low,1.166106556,other
110922,on,2020,netzero,high,high,low,low,no,low,1.166039226,other
110971,on,2020,netzero,ref,high,high,low,no,low,1.166068351,other
111020,on,2020,netzero,low,high,high,low,no,low,1.166106556,other
111069,on,2020,netzero,high,high,high,low,no,low,1.166039226,other
111118,on,2020,netzero,ref,high,ref,low,yes,low,1.166068351,other
21204,on,2025,legislated,ref,ref,ref,ref,no,high,0.857614075,other
21253,on,2025,legislated,low,ref,ref,ref,no,high,0.856446202,other
21302,on,2025,legislated,low,ref,ref,ref,yes,high,0.856446202,other
21351,on,2025,legislated,low,high,ref,low,yes,high,0.857834946,other
21400,on,2025,legislated,high,high,ref,low,yes,high,0.858318912,other
21449,on,2025,legislated,ref,high,low,low,yes,high,0.859149649,other
21498,on,2025,legislated,low,high,low,low,yes,high,0.857835337,other
21547,on,2025,legislated,high,high,low,low,yes,high,0.858316038,other
21596,on,2025,legislated,ref,high,high,low,yes,high,0.859148372,other
21645,on,2025,legislated,low,high,high,low,yes,high,0.857834538,other
21694,on,2025,legislated,high,high,high,low,yes,high,0.858314486,other
