id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,prod_type
26148,on,2025,netzero,low,low,ref,ref,no,low,0.052052904,electrolysis
26160,on,2025,netzero,high,ref,ref,ref,no,low,0.054680915,electrolysis
26172,on,2025,netzero,high,low,ref,ref,no,low,0.054705001,electrolysis
26184,on,2025,netzero,ref,low,low,ref,no,low,0.05845239,electrolysis
26196,on,2025,netzero,low,low,low,ref,no,low,0.055723572,electrolysis
26208,on,2025,netzero,high,low,low,ref,no,low,0.058649308,electrolysis
26220,on,2025,netzero,ref,low,high,ref,no,low,0.050482136,electrolysis
26232,on,2025,netzero,low,low,high,ref,no,low,0.048158138,electrolysis
26244,on,2025,netzero,high,low,high,ref,no,low,0.05064892,electrolysis
26256,on,2025,netzero,ref,low,ref,ref,yes,low,0.054534625,electrolysis
26268,on,2025,netzero,low,low,ref,ref,yes,low,0.052052904,electrolysis
26280,on,2025,netzero,high,low,ref,ref,yes,low,0.054705001,electrolysis
26292,on,2025,netzero,ref,ref,low,ref,no,low,0.058422636,electrolysis
26304,on,2025,netzero,ref,low,low,ref,yes,low,0.05845239,electrolysis
26316,on,2025,netzero,low,low,low,ref,yes,low,0.055723572,electrolysis
26328,on,2025,netzero,high,low,low,ref,yes,low,0.058649308,electrolysis
26340,on,2025,netzero,ref,low,high,ref,yes,low,0.050482136,electrolysis
26352,on,2025,netzero,low,low,high,ref,yes,low,0.048158138,electrolysis
26364,on,2025,netzero,high,low,high,ref,yes,low,0.05064892,electrolysis
26376,on,2025,netzero,ref,high,ref,ref,no,low,0.054146841,electrolysis
26388,on,2025,netzero,low,high,ref,ref,no,low,0.051874388,electrolysis
26400,on,2025,netzero,high,high,ref,ref,no,low,0.05451749,electrolysis
26412,on,2025,netzero,ref,high,low,ref,no,low,0.058053345,electrolysis
26424,on,2025,netzero,low,ref,low,ref,no,low,0.055697978,electrolysis
26436,on,2025,netzero,low,high,low,ref,no,low,0.055522019,electrolysis
26448,on,2025,netzero,high,high,low,ref,no,low,0.058449886,electrolysis
26460,on,2025,netzero,ref,high,high,ref,no,low,0.050135889,electrolysis
26472,on,2025,netzero,low,high,high,ref,no,low,0.047982372,electrolysis
26484,on,2025,netzero,high,high,high,ref,no,low,0.050480631,electrolysis
26496,on,2025,netzero,ref,high,ref,ref,yes,low,0.054146841,electrolysis
26508,on,2025,netzero,low,high,ref,ref,yes,low,0.051874388,electrolysis
26520,on,2025,netzero,high,high,ref,ref,yes,low,0.05451749,electrolysis
26532,on,2025,netzero,ref,high,low,ref,yes,low,0.058053345,electrolysis
26544,on,2025,netzero,low,high,low,ref,yes,low,0.055522019,electrolysis
26556,on,2025,netzero,high,ref,low,ref,no,low,0.058624069,electrolysis
26568,on,2025,netzero,high,high,low,ref,yes,low,0.058453432,electrolysis
26580,on,2025,netzero,ref,high,high,ref,yes,low,0.050135889,electrolysis
26592,on,2025,netzero,low,high,high,ref,yes,low,0.047982372,electrolysis
26604,on,2025,netzero,high,high,high,ref,yes,low,0.050480631,electrolysis
26616,on,2025,netzero,ref,ref,ref,low,no,low,0.044379007,electrolysis
26628,on,2025,netzero,low,ref,ref,low,no,low,0.042539029,electrolysis
26640,on,2025,netzero,high,ref,ref,low,no,low,0.045279096,electrolysis
26652,on,2025,netzero,ref,ref,low,low,no,low,0.047949006,electrolysis
26664,on,2025,netzero,low,ref,low,low,no,low,0.045881155,electrolysis
26676,on,2025,netzero,high,ref,low,low,no,low,0.04889923,electrolysis
26688,on,2025,netzero,ref,ref,high,ref,no,low,0.050456252,electrolysis
26700,on,2025,netzero,ref,ref,high,low,no,low,0.0412463,electrolysis
26712,on,2025,netzero,low,ref,high,low,no,low,0.039497048,electrolysis
26724,on,2025,netzero,high,ref,high,low,no,low,0.042073172,electrolysis
26736,on,2025,netzero,ref,ref,ref,low,yes,low,0.044379007,electrolysis
26748,on,2025,netzero,low,ref,ref,low,yes,low,0.042539029,electrolysis
26760,on,2025,netzero,high,ref,ref,low,yes,low,0.045279096,electrolysis
26772,on,2025,netzero,ref,ref,low,low,yes,low,0.047949006,electrolysis
26784,on,2025,netzero,low,ref,low,low,yes,low,0.045881155,electrolysis
26796,on,2025,netzero,high,ref,low,low,yes,low,0.04889923,electrolysis
26808,on,2025,netzero,ref,ref,high,low,yes,low,0.0412463,electrolysis
26820,on,2025,netzero,low,ref,high,ref,no,low,0.04812056,electrolysis
26832,on,2025,netzero,low,ref,high,low,yes,low,0.039497048,electrolysis
26844,on,2025,netzero,high,ref,high,low,yes,low,0.042073172,electrolysis
26856,on,2025,netzero,ref,low,ref,low,no,low,0.044414095,electrolysis
26868,on,2025,netzero,low,low,ref,low,no,low,0.042572653,electrolysis
26880,on,2025,netzero,high,low,ref,low,no,low,0.045316152,electrolysis
26892,on,2025,netzero,ref,low,low,low,no,low,0.047985883,electrolysis
26904,on,2025,netzero,low,low,low,low,no,low,0.045916632,electrolysis
26916,on,2025,netzero,high,low,low,low,no,low,0.048938322,electrolysis
26928,on,2025,netzero,ref,low,high,low,no,low,0.04127848,electrolysis
26940,on,2025,netzero,low,low,high,low,no,low,0.039526423,electrolysis
26952,on,2025,netzero,high,ref,high,ref,no,low,0.050630431,electrolysis
26964,on,2025,netzero,high,low,high,low,no,low,0.042107065,electrolysis
26976,on,2025,netzero,ref,low,ref,low,yes,low,0.044414095,electrolysis
26988,on,2025,netzero,low,low,ref,low,yes,low,0.042572653,electrolysis
27000,on,2025,netzero,high,low,ref,low,yes,low,0.045316152,electrolysis
27012,on,2025,netzero,ref,low,low,low,yes,low,0.047985883,electrolysis
27024,on,2025,netzero,low,low,low,low,yes,low,0.045916632,electrolysis
27036,on,2025,netzero,high,low,low,low,yes,low,0.048938322,electrolysis
27048,on,2025,netzero,ref,low,high,low,yes,low,0.04127848,electrolysis
27060,on,2025,netzero,low,low,high,low,yes,low,0.039526423,electrolysis
27072,on,2025,netzero,high,low,high,low,yes,low,0.042107065,electrolysis
27084,on,2025,netzero,ref,ref,ref,ref,yes,low,0.054504908,electrolysis
27096,on,2025,netzero,ref,high,ref,low,no,low,0.04435871,electrolysis
27108,on,2025,netzero,low,high,ref,low,no,low,0.042519106,electrolysis
27120,on,2025,netzero,high,high,ref,low,no,low,0.045256885,electrolysis
27132,on,2025,netzero,ref,high,low,low,no,low,0.047927764,electrolysis
27144,on,2025,netzero,low,high,low,low,no,low,0.04586032,electrolysis
27156,on,2025,netzero,high,high,low,low,no,low,0.04887773,electrolysis
27168,on,2025,netzero,ref,high,high,low,no,low,0.0412278,electrolysis
27180,on,2025,netzero,low,high,high,low,no,low,0.039477754,electrolysis
27192,on,2025,netzero,high,high,high,low,no,low,0.042052986,electrolysis
27204,on,2025,netzero,ref,high,ref,low,yes,low,0.04435871,electrolysis
5185,on,2030,legislated,ref,ref,ref,ref,no,high,1.339339342,electrolysis
5197,on,2030,legislated,low,ref,ref,ref,no,high,1.326969142,electrolysis
5209,on,2030,legislated,low,ref,ref,ref,yes,high,1.326969142,electrolysis
5221,on,2030,legislated,low,high,ref,low,yes,high,1.066454266,electrolysis
5233,on,2030,legislated,high,high,ref,low,yes,high,1.810080959,electrolysis
5245,on,2030,legislated,ref,high,low,low,yes,high,1.984785686,electrolysis
5257,on,2030,legislated,low,high,low,low,yes,high,1.323690398,electrolysis
5269,on,2030,legislated,high,high,low,low,yes,high,2.257128552,electrolysis
5281,on,2030,legislated,ref,high,high,low,yes,high,1.504044637,electrolysis
5293,on,2030,legislated,low,high,high,low,yes,high,1.015208373,electrolysis
5305,on,2030,legislated,high,high,high,low,yes,high,1.708754969,electrolysis
5317,on,2030,legislated,high,ref,ref,ref,yes,high,1.611481987,electrolysis
5329,on,2030,legislated,ref,ref,low,ref,yes,high,1.675444342,electrolysis
5341,on,2030,legislated,low,ref,low,ref,yes,high,1.660491451,electrolysis
5353,on,2030,legislated,high,ref,low,ref,yes,high,1.998015327,electrolysis
5365,on,2030,legislated,ref,ref,high,ref,yes,high,1.27000457,electrolysis
5377,on,2030,legislated,low,ref,high,ref,yes,high,1.257760994,electrolysis
5389,on,2030,legislated,high,ref,high,ref,yes,high,1.530702276,electrolysis
5401,on,2030,legislated,ref,low,ref,ref,no,high,1.339775188,electrolysis
5413,on,2030,legislated,low,low,ref,ref,no,high,1.327190029,electrolysis
5425,on,2030,legislated,high,ref,ref,ref,no,high,1.611481987,electrolysis
5437,on,2030,legislated,high,low,ref,ref,no,high,1.3250941,electrolysis
5449,on,2030,legislated,ref,low,low,ref,no,high,1.675983242,electrolysis
5461,on,2030,legislated,low,low,low,ref,no,high,1.661153939,electrolysis
5473,on,2030,legislated,high,low,low,ref,no,high,1.65298926,electrolysis
5485,on,2030,legislated,ref,low,high,ref,no,high,1.270426243,electrolysis
5497,on,2030,legislated,low,low,high,ref,no,high,1.258243381,electrolysis
5509,on,2030,legislated,high,low,high,ref,no,high,1.2569429,electrolysis
5521,on,2030,legislated,ref,low,ref,ref,yes,high,1.339775188,electrolysis
5533,on,2030,legislated,low,low,ref,ref,yes,high,1.327190029,electrolysis
5545,on,2030,legislated,high,low,ref,ref,yes,high,1.3250941,electrolysis
5557,on,2030,legislated,ref,ref,low,ref,no,high,1.675444342,electrolysis
5569,on,2030,legislated,ref,low,low,ref,yes,high,1.675983242,electrolysis
5581,on,2030,legislated,low,low,low,ref,yes,high,1.661153939,electrolysis
5593,on,2030,legislated,high,low,low,ref,yes,high,1.65298926,electrolysis
5605,on,2030,legislated,ref,low,high,ref,yes,high,1.270426243,electrolysis
