id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,green_energy
5612,on,2030,netzero,ref,high,ref,low,yes,high,74.18498658,fossil fuel
8640,on,2030,netzero,ref,ref,ref,ref,no,low,65.45624295,fossil fuel
8644,on,2030,netzero,low,ref,ref,ref,no,low,67.49258194,fossil fuel
8648,on,2030,netzero,low,ref,ref,ref,yes,low,67.49327177,fossil fuel
8652,on,2030,netzero,low,high,ref,low,yes,low,73.61074006,fossil fuel
8656,on,2030,netzero,high,high,ref,low,yes,low,73.68386611,fossil fuel
8660,on,2030,netzero,ref,high,low,low,yes,low,74.21403696,fossil fuel
8664,on,2030,netzero,low,high,low,low,yes,low,73.59016011,fossil fuel
8668,on,2030,netzero,high,high,low,low,yes,low,73.74629236,fossil fuel
8672,on,2030,netzero,ref,high,high,low,yes,low,74.18804514,fossil fuel
8676,on,2030,netzero,low,high,high,low,yes,low,73.6135065,fossil fuel
8680,on,2030,netzero,high,high,high,low,yes,low,73.67684981,fossil fuel
8684,on,2030,netzero,high,ref,ref,ref,yes,low,65.20258579,fossil fuel
8688,on,2030,netzero,ref,ref,low,ref,yes,low,65.39207959,fossil fuel
8692,on,2030,netzero,low,ref,low,ref,yes,low,67.49555061,fossil fuel
8696,on,2030,netzero,high,ref,low,ref,yes,low,65.18599524,fossil fuel
8700,on,2030,netzero,ref,ref,high,ref,yes,low,65.4629094,fossil fuel
8704,on,2030,netzero,low,ref,high,ref,yes,low,67.50077835,fossil fuel
8708,on,2030,netzero,high,ref,high,ref,yes,low,65.20404113,fossil fuel
8712,on,2030,netzero,ref,low,ref,ref,no,low,69.56949431,fossil fuel
8716,on,2030,netzero,low,low,ref,ref,no,low,69.91672869,fossil fuel
8720,on,2030,netzero,high,ref,ref,ref,no,low,65.06616926,fossil fuel
8724,on,2030,netzero,high,low,ref,ref,no,low,68.05484899,fossil fuel
8728,on,2030,netzero,ref,low,low,ref,no,low,69.53696876,fossil fuel
8732,on,2030,netzero,low,low,low,ref,no,low,69.89459605,fossil fuel
8736,on,2030,netzero,high,low,low,ref,no,low,68.20073638,fossil fuel
8740,on,2030,netzero,ref,low,high,ref,no,low,69.34767429,fossil fuel
8744,on,2030,netzero,low,low,high,ref,no,low,70.00718767,fossil fuel
8748,on,2030,netzero,high,low,high,ref,no,low,68.20265506,fossil fuel
8752,on,2030,netzero,ref,low,ref,ref,yes,low,69.3807661,fossil fuel
8756,on,2030,netzero,low,low,ref,ref,yes,low,69.91695425,fossil fuel
8760,on,2030,netzero,high,low,ref,ref,yes,low,68.15533069,fossil fuel
8764,on,2030,netzero,ref,ref,low,ref,no,low,65.47294024,fossil fuel
8768,on,2030,netzero,ref,low,low,ref,yes,low,69.58368445,fossil fuel
8772,on,2030,netzero,low,low,low,ref,yes,low,69.88786998,fossil fuel
8776,on,2030,netzero,high,low,low,ref,yes,low,68.17779167,fossil fuel
8780,on,2030,netzero,ref,low,high,ref,yes,low,69.51191464,fossil fuel
8784,on,2030,netzero,low,low,high,ref,yes,low,70.02030321,fossil fuel
8788,on,2030,netzero,high,low,high,ref,yes,low,68.26280432,fossil fuel
8792,on,2030,netzero,ref,high,ref,ref,no,low,64.55691699,fossil fuel
8796,on,2030,netzero,low,high,ref,ref,no,low,65.64471645,fossil fuel
8800,on,2030,netzero,high,high,ref,ref,no,low,65.70665842,fossil fuel
8804,on,2030,netzero,ref,high,low,ref,no,low,64.4154447,fossil fuel
8808,on,2030,netzero,low,ref,low,ref,no,low,67.48168241,fossil fuel
8812,on,2030,netzero,low,high,low,ref,no,low,65.70638889,fossil fuel
8816,on,2030,netzero,high,high,low,ref,no,low,65.71178952,fossil fuel
8820,on,2030,netzero,ref,high,high,ref,no,low,64.57115576,fossil fuel
8824,on,2030,netzero,low,high,high,ref,no,low,65.62921575,fossil fuel
8828,on,2030,netzero,high,high,high,ref,no,low,65.71076927,fossil fuel
8832,on,2030,netzero,ref,high,ref,ref,yes,low,64.55523963,fossil fuel
8836,on,2030,netzero,low,high,ref,ref,yes,low,65.64369015,fossil fuel
8840,on,2030,netzero,high,high,ref,ref,yes,low,65.62962184,fossil fuel
8844,on,2030,netzero,ref,high,low,ref,yes,low,64.56983674,fossil fuel
8848,on,2030,netzero,low,high,low,ref,yes,low,65.67811806,fossil fuel
8852,on,2030,netzero,high,ref,low,ref,no,low,65.0441155,fossil fuel
8856,on,2030,netzero,high,high,low,ref,yes,low,65.7153958,fossil fuel
8860,on,2030,netzero,ref,high,high,ref,yes,low,64.57133588,fossil fuel
8864,on,2030,netzero,low,high,high,ref,yes,low,65.65985572,fossil fuel
8868,on,2030,netzero,high,high,high,ref,yes,low,65.70938091,fossil fuel
8872,on,2030,netzero,ref,ref,ref,low,no,low,74.301852,fossil fuel
8876,on,2030,netzero,low,ref,ref,low,no,low,73.76602451,fossil fuel
8880,on,2030,netzero,high,ref,ref,low,no,low,73.92561804,fossil fuel
8884,on,2030,netzero,ref,ref,low,low,no,low,74.348568,fossil fuel
8888,on,2030,netzero,low,ref,low,low,no,low,73.75904412,fossil fuel
8892,on,2030,netzero,high,ref,low,low,no,low,73.9974754,fossil fuel
8896,on,2030,netzero,ref,ref,high,ref,no,low,65.36789186,fossil fuel
8900,on,2030,netzero,ref,ref,high,low,no,low,74.30476739,fossil fuel
8904,on,2030,netzero,low,ref,high,low,no,low,73.76520612,fossil fuel
8908,on,2030,netzero,high,ref,high,low,no,low,73.90974924,fossil fuel
8912,on,2030,netzero,ref,ref,ref,low,yes,low,74.31734971,fossil fuel
8916,on,2030,netzero,low,ref,ref,low,yes,low,73.76604607,fossil fuel
8920,on,2030,netzero,high,ref,ref,low,yes,low,73.92890381,fossil fuel
8924,on,2030,netzero,ref,ref,low,low,yes,low,74.32251052,fossil fuel
8928,on,2030,netzero,low,ref,low,low,yes,low,73.7592784,fossil fuel
8932,on,2030,netzero,high,ref,low,low,yes,low,74.00429395,fossil fuel
8936,on,2030,netzero,ref,ref,high,low,yes,low,74.29967723,fossil fuel
8940,on,2030,netzero,low,ref,high,ref,no,low,67.49578973,fossil fuel
8944,on,2030,netzero,low,ref,high,low,yes,low,73.76486484,fossil fuel
8948,on,2030,netzero,high,ref,high,low,yes,low,73.87139551,fossil fuel
8952,on,2030,netzero,ref,low,ref,low,no,low,74.82145929,fossil fuel
8956,on,2030,netzero,low,low,ref,low,no,low,73.94490817,fossil fuel
8960,on,2030,netzero,high,low,ref,low,no,low,75.58673887,fossil fuel
8964,on,2030,netzero,ref,low,low,low,no,low,74.81069152,fossil fuel
8968,on,2030,netzero,low,low,low,low,no,low,73.94026379,fossil fuel
8972,on,2030,netzero,high,low,low,low,no,low,75.5695789,fossil fuel
8976,on,2030,netzero,ref,low,high,low,no,low,74.82759993,fossil fuel
8980,on,2030,netzero,low,low,high,low,no,low,73.95708,fossil fuel
8984,on,2030,netzero,high,ref,high,ref,no,low,65.20445851,fossil fuel
8988,on,2030,netzero,high,low,high,low,no,low,75.58881196,fossil fuel
8992,on,2030,netzero,ref,low,ref,low,yes,low,74.81951494,fossil fuel
8996,on,2030,netzero,low,low,ref,low,yes,low,73.95138838,fossil fuel
9000,on,2030,netzero,high,low,ref,low,yes,low,75.59127272,fossil fuel
9004,on,2030,netzero,ref,low,low,low,yes,low,74.80997614,fossil fuel
9008,on,2030,netzero,low,low,low,low,yes,low,73.94083937,fossil fuel
9012,on,2030,netzero,high,low,low,low,yes,low,75.56935846,fossil fuel
9016,on,2030,netzero,ref,low,high,low,yes,low,74.81625879,fossil fuel
9020,on,2030,netzero,low,low,high,low,yes,low,73.94205445,fossil fuel
9024,on,2030,netzero,high,low,high,low,yes,low,75.58386989,fossil fuel
9028,on,2030,netzero,ref,ref,ref,ref,yes,low,65.37416467,fossil fuel
9032,on,2030,netzero,ref,high,ref,low,no,low,74.21647973,fossil fuel
9036,on,2030,netzero,low,high,ref,low,no,low,73.6136307,fossil fuel
9040,on,2030,netzero,high,high,ref,low,no,low,73.67239199,fossil fuel
9044,on,2030,netzero,ref,high,low,low,no,low,74.20121745,fossil fuel
9048,on,2030,netzero,low,high,low,low,no,low,73.59365679,fossil fuel
9052,on,2030,netzero,high,high,low,low,no,low,73.75123694,fossil fuel
9056,on,2030,netzero,ref,high,high,low,no,low,74.1933891,fossil fuel
9060,on,2030,netzero,low,high,high,low,no,low,73.61331536,fossil fuel
9064,on,2030,netzero,high,high,high,low,no,low,73.65812375,fossil fuel
9068,on,2030,netzero,ref,high,ref,low,yes,low,74.22520477,fossil fuel
1729,on,2050,legislated,ref,ref,ref,ref,no,high,67.86012759,fossil fuel
1733,on,2050,legislated,low,ref,ref,ref,no,high,64.48350458,fossil fuel
1737,on,2050,legislated,low,ref,ref,ref,yes,high,64.48350458,fossil fuel
1741,on,2050,legislated,low,high,ref,low,yes,high,65.49504735,fossil fuel
1745,on,2050,legislated,high,high,ref,low,yes,high,73.71991662,fossil fuel
1749,on,2050,legislated,ref,high,low,low,yes,high,68.60036194,fossil fuel
1753,on,2050,legislated,low,high,low,low,yes,high,65.36412755,fossil fuel
1757,on,2050,legislated,high,high,low,low,yes,high,73.65530732,fossil fuel
1761,on,2050,legislated,ref,high,high,low,yes,high,68.68986704,fossil fuel
1765,on,2050,legislated,low,high,high,low,yes,high,65.49423502,fossil fuel
1769,on,2050,legislated,high,high,high,low,yes,high,73.73639738,fossil fuel
1773,on,2050,legislated,high,ref,ref,ref,yes,high,72.97982379,fossil fuel
1777,on,2050,legislated,ref,ref,low,ref,yes,high,67.64466346,fossil fuel
1781,on,2050,legislated,low,ref,low,ref,yes,high,64.29883624,fossil fuel
1785,on,2050,legislated,high,ref,low,ref,yes,high,72.88830795,fossil fuel
1789,on,2050,legislated,ref,ref,high,ref,yes,high,67.91430263,fossil fuel
1793,on,2050,legislated,low,ref,high,ref,yes,high,64.47291692,fossil fuel
1797,on,2050,legislated,high,ref,high,ref,yes,high,73.0369932,fossil fuel
1801,on,2050,legislated,ref,low,ref,ref,no,high,67.82034284,fossil fuel
1805,on,2050,legislated,low,low,ref,ref,no,high,64.43592385,fossil fuel
1809,on,2050,legislated,high,ref,ref,ref,no,high,72.97982379,fossil fuel
1813,on,2050,legislated,high,low,ref,ref,no,high,72.98586088,fossil fuel
1817,on,2050,legislated,ref,low,low,ref,no,high,67.52054691,fossil fuel
1821,on,2050,legislated,low,low,low,ref,no,high,64.28131059,fossil fuel
1825,on,2050,legislated,high,low,low,ref,no,high,72.64523779,fossil fuel
1829,on,2050,legislated,ref,low,high,ref,no,high,67.88155104,fossil fuel
1833,on,2050,legislated,low,low,high,ref,no,high,64.45761697,fossil fuel
1837,on,2050,legislated,high,low,high,ref,no,high,72.89260011,fossil fuel
1841,on,2050,legislated,ref,low,ref,ref,yes,high,67.82034284,fossil fuel
1845,on,2050,legislated,low,low,ref,ref,yes,high,64.43592385,fossil fuel
1849,on,2050,legislated,high,low,ref,ref,yes,high,72.98586088,fossil fuel
