id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
81690,on,2025,netzero,ref,ref,high,low,no,high,0.040671857,medium & heavy-duty transport
81750,on,2025,netzero,low,ref,high,low,no,high,0.03897704,medium & heavy-duty transport
81810,on,2025,netzero,high,ref,high,low,no,high,0.041463555,medium & heavy-duty transport
81870,on,2025,netzero,ref,ref,ref,low,yes,high,0.04367119,medium & heavy-duty transport
81930,on,2025,netzero,low,ref,ref,low,yes,high,0.041897983,medium & heavy-duty transport
81990,on,2025,netzero,high,ref,ref,low,yes,high,0.044528431,medium & heavy-duty transport
82050,on,2025,netzero,ref,ref,low,low,yes,high,0.047224764,medium & heavy-duty transport
82110,on,2025,netzero,low,ref,low,low,yes,high,0.045225094,medium & heavy-duty transport
82170,on,2025,netzero,high,ref,low,low,yes,high,0.048131172,medium & heavy-duty transport
82230,on,2025,netzero,ref,ref,high,low,yes,high,0.040671857,medium & heavy-duty transport
82290,on,2025,netzero,low,ref,high,ref,no,high,0.047520782,medium & heavy-duty transport
82350,on,2025,netzero,low,ref,high,low,yes,high,0.03897704,medium & heavy-duty transport
82410,on,2025,netzero,high,ref,high,low,yes,high,0.041463555,medium & heavy-duty transport
82470,on,2025,netzero,ref,low,ref,low,no,high,0.043705923,medium & heavy-duty transport
82530,on,2025,netzero,low,low,ref,low,no,high,0.041931241,medium & heavy-duty transport
82590,on,2025,netzero,high,low,ref,low,no,high,0.044565097,medium & heavy-duty transport
82650,on,2025,netzero,ref,low,low,low,no,high,0.047261228,medium & heavy-duty transport
82710,on,2025,netzero,low,low,low,low,no,high,0.045260194,medium & heavy-duty transport
82770,on,2025,netzero,high,low,low,low,no,high,0.048169861,medium & heavy-duty transport
82830,on,2025,netzero,ref,low,high,low,no,high,0.040703713,medium & heavy-duty transport
82890,on,2025,netzero,low,low,high,low,no,high,0.039006536,medium & heavy-duty transport
82950,on,2025,netzero,high,ref,high,ref,no,high,0.049915732,medium & heavy-duty transport
83010,on,2025,netzero,high,low,high,low,no,high,0.041497119,medium & heavy-duty transport
83070,on,2025,netzero,ref,low,ref,low,yes,high,0.043705923,medium & heavy-duty transport
83130,on,2025,netzero,low,low,ref,low,yes,high,0.041931241,medium & heavy-duty transport
83190,on,2025,netzero,high,low,ref,low,yes,high,0.044565097,medium & heavy-duty transport
83250,on,2025,netzero,ref,low,low,low,yes,high,0.047261228,medium & heavy-duty transport
83310,on,2025,netzero,low,low,low,low,yes,high,0.045260194,medium & heavy-duty transport
83370,on,2025,netzero,high,low,low,low,yes,high,0.048169861,medium & heavy-duty transport
83430,on,2025,netzero,ref,low,high,low,yes,high,0.040703713,medium & heavy-duty transport
83490,on,2025,netzero,low,low,high,low,yes,high,0.039006536,medium & heavy-duty transport
83550,on,2025,netzero,high,low,high,low,yes,high,0.041497119,medium & heavy-duty transport
83610,on,2025,netzero,ref,ref,ref,ref,yes,high,0.053680134,medium & heavy-duty transport
83670,on,2025,netzero,ref,high,ref,low,no,high,0.043651043,medium & heavy-duty transport
83730,on,2025,netzero,low,high,ref,low,no,high,0.041878214,medium & heavy-duty transport
83790,on,2025,netzero,high,high,ref,low,no,high,0.044506382,medium & heavy-duty transport
83850,on,2025,netzero,ref,high,low,low,no,high,0.047203666,medium & heavy-duty transport
83910,on,2025,netzero,low,high,low,low,no,high,0.045204419,medium & heavy-duty transport
83970,on,2025,netzero,high,high,low,low,no,high,0.048109833,medium & heavy-duty transport
84030,on,2025,netzero,ref,high,high,low,no,high,0.040653472,medium & heavy-duty transport
84090,on,2025,netzero,low,high,high,low,no,high,0.038958289,medium & heavy-duty transport
84150,on,2025,netzero,high,high,high,low,no,high,0.041443501,medium & heavy-duty transport
84210,on,2025,netzero,ref,high,ref,low,yes,high,0.043651043,medium & heavy-duty transport
129630,on,2025,netzero,ref,ref,ref,ref,no,low,0.053680022,medium & heavy-duty transport
129690,on,2025,netzero,low,ref,ref,ref,no,low,0.051286163,medium & heavy-duty transport
129750,on,2025,netzero,low,ref,ref,ref,yes,low,0.051286163,medium & heavy-duty transport
129810,on,2025,netzero,low,high,ref,low,yes,low,0.041878214,medium & heavy-duty transport
129870,on,2025,netzero,high,high,ref,low,yes,low,0.044506382,medium & heavy-duty transport
129930,on,2025,netzero,ref,high,low,low,yes,low,0.047203666,medium & heavy-duty transport
129990,on,2025,netzero,low,high,low,low,yes,low,0.045204419,medium & heavy-duty transport
130050,on,2025,netzero,high,high,low,low,yes,low,0.048109833,medium & heavy-duty transport
130110,on,2025,netzero,ref,high,high,low,yes,low,0.040653472,medium & heavy-duty transport
130170,on,2025,netzero,low,high,high,low,yes,low,0.038958289,medium & heavy-duty transport
130230,on,2025,netzero,high,high,high,low,yes,low,0.041443501,medium & heavy-duty transport
130290,on,2025,netzero,high,ref,ref,ref,yes,low,0.053801199,medium & heavy-duty transport
130350,on,2025,netzero,ref,ref,low,ref,yes,low,0.057578663,medium & heavy-duty transport
130410,on,2025,netzero,low,ref,low,ref,yes,low,0.054941056,medium & heavy-duty transport
130470,on,2025,netzero,high,ref,low,ref,yes,low,0.057724052,medium & heavy-duty transport
130530,on,2025,netzero,ref,ref,high,ref,yes,low,0.049787029,medium & heavy-duty transport
130590,on,2025,netzero,low,ref,high,ref,yes,low,0.047520782,medium & heavy-duty transport
130650,on,2025,netzero,high,ref,high,ref,yes,low,0.049915732,medium & heavy-duty transport
130710,on,2025,netzero,ref,low,ref,ref,no,low,0.053709649,medium & heavy-duty transport
130770,on,2025,netzero,low,low,ref,ref,no,low,0.05131309,medium & heavy-duty transport
130830,on,2025,netzero,high,ref,ref,ref,no,low,0.053801199,medium & heavy-duty transport
130890,on,2025,netzero,high,low,ref,ref,no,low,0.053825132,medium & heavy-duty transport
130950,on,2025,netzero,ref,low,low,ref,no,low,0.057608232,medium & heavy-duty transport
131010,on,2025,netzero,low,low,low,ref,no,low,0.054966493,medium & heavy-duty transport
131070,on,2025,netzero,high,low,low,ref,no,low,0.057749132,medium & heavy-duty transport
131130,on,2025,netzero,ref,low,high,ref,no,low,0.049812764,medium & heavy-duty transport
131190,on,2025,netzero,low,low,high,ref,no,low,0.047558258,medium & heavy-duty transport
131250,on,2025,netzero,high,low,high,ref,no,low,0.049934035,medium & heavy-duty transport
131310,on,2025,netzero,ref,low,ref,ref,yes,low,0.053709649,medium & heavy-duty transport
131370,on,2025,netzero,low,low,ref,ref,yes,low,0.05131309,medium & heavy-duty transport
131430,on,2025,netzero,high,low,ref,ref,yes,low,0.053825132,medium & heavy-duty transport
131490,on,2025,netzero,ref,ref,low,ref,no,low,0.057578663,medium & heavy-duty transport
131550,on,2025,netzero,ref,low,low,ref,yes,low,0.057608232,medium & heavy-duty transport
131610,on,2025,netzero,low,low,low,ref,yes,low,0.054966493,medium & heavy-duty transport
131670,on,2025,netzero,high,low,low,ref,yes,low,0.057749132,medium & heavy-duty transport
131730,on,2025,netzero,ref,low,high,ref,yes,low,0.049812764,medium & heavy-duty transport
131790,on,2025,netzero,low,low,high,ref,yes,low,0.047558258,medium & heavy-duty transport
131850,on,2025,netzero,high,low,high,ref,yes,low,0.049934035,medium & heavy-duty transport
131910,on,2025,netzero,ref,high,ref,ref,no,low,0.053325394,medium & heavy-duty transport
131970,on,2025,netzero,low,high,ref,ref,no,low,0.05113617,medium & heavy-duty transport
132030,on,2025,netzero,high,high,ref,ref,no,low,0.053639487,medium & heavy-duty transport
132090,on,2025,netzero,ref,high,low,ref,no,low,0.057212731,medium & heavy-duty transport
132150,on,2025,netzero,low,ref,low,ref,no,low,0.054941056,medium & heavy-duty transport
132210,on,2025,netzero,low,high,low,ref,no,low,0.054766557,medium & heavy-duty transport
132270,on,2025,netzero,high,high,low,ref,no,low,0.057551668,medium & heavy-duty transport
132330,on,2025,netzero,ref,high,high,ref,no,low,0.049469594,medium & heavy-duty transport
132390,on,2025,netzero,low,high,high,ref,no,low,0.04738376,medium & heavy-duty transport
