id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,eu_name,technology
58436,on,2020,netzero,low,low,high,low,yes,high,100.0,heavy-duty,ice
58478,on,2020,netzero,high,low,high,low,yes,high,100.0,heavy-duty,ice
58520,on,2020,netzero,ref,ref,ref,ref,yes,high,100.0,heavy-duty,ice
58562,on,2020,netzero,ref,high,ref,low,no,high,100.0,heavy-duty,ice
58604,on,2020,netzero,low,high,ref,low,no,high,100.0,heavy-duty,ice
58646,on,2020,netzero,high,high,ref,low,no,high,100.0,heavy-duty,ice
58688,on,2020,netzero,ref,high,low,low,no,high,100.0,heavy-duty,ice
58730,on,2020,netzero,low,high,low,low,no,high,100.0,heavy-duty,ice
58772,on,2020,netzero,high,high,low,low,no,high,100.0,heavy-duty,ice
58814,on,2020,netzero,ref,high,high,low,no,high,100.0,heavy-duty,ice
58856,on,2020,netzero,low,high,high,low,no,high,100.0,heavy-duty,ice
58898,on,2020,netzero,high,high,high,low,no,high,100.0,heavy-duty,ice
58940,on,2020,netzero,ref,high,ref,low,yes,high,100.0,heavy-duty,ice
90734,on,2020,netzero,ref,ref,ref,ref,no,low,100.0,heavy-duty,ice
90776,on,2020,netzero,low,ref,ref,ref,no,low,100.0,heavy-duty,ice
90818,on,2020,netzero,low,ref,ref,ref,yes,low,100.0,heavy-duty,ice
90860,on,2020,netzero,low,high,ref,low,yes,low,100.0,heavy-duty,ice
90902,on,2020,netzero,high,high,ref,low,yes,low,100.0,heavy-duty,ice
90944,on,2020,netzero,ref,high,low,low,yes,low,100.0,heavy-duty,ice
90986,on,2020,netzero,low,high,low,low,yes,low,100.0,heavy-duty,ice
91028,on,2020,netzero,high,high,low,low,yes,low,100.0,heavy-duty,ice
91070,on,2020,netzero,ref,high,high,low,yes,low,100.0,heavy-duty,ice
91112,on,2020,netzero,low,high,high,low,yes,low,100.0,heavy-duty,ice
91154,on,2020,netzero,high,high,high,low,yes,low,100.0,heavy-duty,ice
91196,on,2020,netzero,high,ref,ref,ref,yes,low,100.0,heavy-duty,ice
91238,on,2020,netzero,ref,ref,low,ref,yes,low,100.0,heavy-duty,ice
91280,on,2020,netzero,low,ref,low,ref,yes,low,100.0,heavy-duty,ice
91322,on,2020,netzero,high,ref,low,ref,yes,low,100.0,heavy-duty,ice
91364,on,2020,netzero,ref,ref,high,ref,yes,low,100.0,heavy-duty,ice
91406,on,2020,netzero,low,ref,high,ref,yes,low,100.0,heavy-duty,ice
91448,on,2020,netzero,high,ref,high,ref,yes,low,100.0,heavy-duty,ice
91490,on,2020,netzero,ref,low,ref,ref,no,low,100.0,heavy-duty,ice
91532,on,2020,netzero,low,low,ref,ref,no,low,100.0,heavy-duty,ice
91574,on,2020,netzero,high,ref,ref,ref,no,low,100.0,heavy-duty,ice
91616,on,2020,netzero,high,low,ref,ref,no,low,100.0,heavy-duty,ice
91658,on,2020,netzero,ref,low,low,ref,no,low,100.0,heavy-duty,ice
91700,on,2020,netzero,low,low,low,ref,no,low,100.0,heavy-duty,ice
91742,on,2020,netzero,high,low,low,ref,no,low,100.0,heavy-duty,ice
91784,on,2020,netzero,ref,low,high,ref,no,low,100.0,heavy-duty,ice
91826,on,2020,netzero,low,low,high,ref,no,low,100.0,heavy-duty,ice
91868,on,2020,netzero,high,low,high,ref,no,low,100.0,heavy-duty,ice
91910,on,2020,netzero,ref,low,ref,ref,yes,low,100.0,heavy-duty,ice
91952,on,2020,netzero,low,low,ref,ref,yes,low,100.0,heavy-duty,ice
91994,on,2020,netzero,high,low,ref,ref,yes,low,100.0,heavy-duty,ice
92036,on,2020,netzero,ref,ref,low,ref,no,low,100.0,heavy-duty,ice
92078,on,2020,netzero,ref,low,low,ref,yes,low,100.0,heavy-duty,ice
92120,on,2020,netzero,low,low,low,ref,yes,low,100.0,heavy-duty,ice
92162,on,2020,netzero,high,low,low,ref,yes,low,100.0,heavy-duty,ice
92204,on,2020,netzero,ref,low,high,ref,yes,low,100.0,heavy-duty,ice
92246,on,2020,netzero,low,low,high,ref,yes,low,100.0,heavy-duty,ice
92288,on,2020,netzero,high,low,high,ref,yes,low,100.0,heavy-duty,ice
92330,on,2020,netzero,ref,high,ref,ref,no,low,100.0,heavy-duty,ice
92372,on,2020,netzero,low,high,ref,ref,no,low,100.0,heavy-duty,ice
92414,on,2020,netzero,high,high,ref,ref,no,low,100.0,heavy-duty,ice
92456,on,2020,netzero,ref,high,low,ref,no,low,100.0,heavy-duty,ice
92498,on,2020,netzero,low,ref,low,ref,no,low,100.0,heavy-duty,ice
92540,on,2020,netzero,low,high,low,ref,no,low,100.0,heavy-duty,ice
92582,on,2020,netzero,high,high,low,ref,no,low,100.0,heavy-duty,ice
92624,on,2020,netzero,ref,high,high,ref,no,low,100.0,heavy-duty,ice
92666,on,2020,netzero,low,high,high,ref,no,low,100.0,heavy-duty,ice
92708,on,2020,netzero,high,high,high,ref,no,low,100.0,heavy-duty,ice
92750,on,2020,netzero,ref,high,ref,ref,yes,low,100.0,heavy-duty,ice
92792,on,2020,netzero,low,high,ref,ref,yes,low,100.0,heavy-duty,ice
92834,on,2020,netzero,high,high,ref,ref,yes,low,100.0,heavy-duty,ice
92876,on,2020,netzero,ref,high,low,ref,yes,low,100.0,heavy-duty,ice
92918,on,2020,netzero,low,high,low,ref,yes,low,100.0,heavy-duty,ice
92960,on,2020,netzero,high,ref,low,ref,no,low,100.0,heavy-duty,ice
93002,on,2020,netzero,high,high,low,ref,yes,low,100.0,heavy-duty,ice
93044,on,2020,netzero,ref,high,high,ref,yes,low,100.0,heavy-duty,ice
93086,on,2020,netzero,low,high,high,ref,yes,low,100.0,heavy-duty,ice
93128,on,2020,netzero,high,high,high,ref,yes,low,100.0,heavy-duty,ice
93170,on,2020,netzero,ref,ref,ref,low,no,low,100.0,heavy-duty,ice
93212,on,2020,netzero,low,ref,ref,low,no,low,100.0,heavy-duty,ice
93254,on,2020,netzero,high,ref,ref,low,no,low,100.0,heavy-duty,ice
93296,on,2020,netzero,ref,ref,low,low,no,low,100.0,heavy-duty,ice
93338,on,2020,netzero,low,ref,low,low,no,low,100.0,heavy-duty,ice
93380,on,2020,netzero,high,ref,low,low,no,low,100.0,heavy-duty,ice
93422,on,2020,netzero,ref,ref,high,ref,no,low,100.0,heavy-duty,ice
93464,on,2020,netzero,ref,ref,high,low,no,low,100.0,heavy-duty,ice
93506,on,2020,netzero,low,ref,high,low,no,low,100.0,heavy-duty,ice
93548,on,2020,netzero,high,ref,high,low,no,low,100.0,heavy-duty,ice
93590,on,2020,netzero,ref,ref,ref,low,yes,low,100.0,heavy-duty,ice
93632,on,2020,netzero,low,ref,ref,low,yes,low,100.0,heavy-duty,ice
93674,on,2020,netzero,high,ref,ref,low,yes,low,100.0,heavy-duty,ice
93716,on,2020,netzero,ref,ref,low,low,yes,low,100.0,heavy-duty,ice
93758,on,2020,netzero,low,ref,low,low,yes,low,100.0,heavy-duty,ice
93800,on,2020,netzero,high,ref,low,low,yes,low,100.0,heavy-duty,ice
93842,on,2020,netzero,ref,ref,high,low,yes,low,100.0,heavy-duty,ice
93884,on,2020,netzero,low,ref,high,ref,no,low,100.0,heavy-duty,ice
93926,on,2020,netzero,low,ref,high,low,yes,low,100.0,heavy-duty,ice
93968,on,2020,netzero,high,ref,high,low,yes,low,100.0,heavy-duty,ice
