id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
1384,on,2050,netzero,ref,low,ref,low,yes,high,1.904837301
1385,on,2050,netzero,low,low,ref,low,yes,high,1.951274625
1386,on,2050,netzero,high,low,ref,low,yes,high,1.868693105
1387,on,2050,netzero,ref,low,low,low,yes,high,1.910685922
1388,on,2050,netzero,low,low,low,low,yes,high,1.948582574
1389,on,2050,netzero,high,low,low,low,yes,high,1.867800725
1390,on,2050,netzero,ref,low,high,low,yes,high,1.905542828
1391,on,2050,netzero,low,low,high,low,yes,high,1.952117302
1392,on,2050,netzero,high,low,high,low,yes,high,1.869441229
1393,on,2050,netzero,ref,ref,ref,ref,yes,high,1.915812567
1394,on,2050,netzero,ref,high,ref,low,no,high,1.555854451
1395,on,2050,netzero,low,high,ref,low,no,high,1.666878366
1396,on,2050,netzero,high,high,ref,low,no,high,1.35587956
1397,on,2050,netzero,ref,high,low,low,no,high,1.559285161
1398,on,2050,netzero,low,high,low,low,no,high,1.666223977
1399,on,2050,netzero,high,high,low,low,no,high,1.359181484
1400,on,2050,netzero,ref,high,high,low,no,high,1.547059484
1401,on,2050,netzero,low,high,high,low,no,high,1.664130181
1402,on,2050,netzero,high,high,high,low,no,high,1.339471066
1403,on,2050,netzero,ref,high,ref,low,yes,high,1.910931626
2160,on,2050,netzero,ref,ref,ref,ref,no,low,1.479973251
2161,on,2050,netzero,low,ref,ref,ref,no,low,1.593839625
2162,on,2050,netzero,low,ref,ref,ref,yes,low,1.961131741
2163,on,2050,netzero,low,high,ref,low,yes,low,1.946328859
2164,on,2050,netzero,high,high,ref,low,yes,low,1.875061312
2165,on,2050,netzero,ref,high,low,low,yes,low,1.902592002
2166,on,2050,netzero,low,high,low,low,yes,low,1.944358138
2167,on,2050,netzero,high,high,low,low,yes,low,1.873511141
2168,on,2050,netzero,ref,high,high,low,yes,low,1.907197231
2169,on,2050,netzero,low,high,high,low,yes,low,1.946699879
2170,on,2050,netzero,high,high,high,low,yes,low,1.875242919
2171,on,2050,netzero,high,ref,ref,ref,yes,low,1.868812886
2172,on,2050,netzero,ref,ref,low,ref,yes,low,1.906487929
2173,on,2050,netzero,low,ref,low,ref,yes,low,1.959833767
2174,on,2050,netzero,high,ref,low,ref,yes,low,1.869853922
2175,on,2050,netzero,ref,ref,high,ref,yes,low,1.913245057
2176,on,2050,netzero,low,ref,high,ref,yes,low,1.961252612
2177,on,2050,netzero,high,ref,high,ref,yes,low,1.864888091
2178,on,2050,netzero,ref,low,ref,ref,no,low,1.544718807
2179,on,2050,netzero,low,low,ref,ref,no,low,1.661523201
2180,on,2050,netzero,high,ref,ref,ref,no,low,1.294768583
2181,on,2050,netzero,high,low,ref,ref,no,low,1.297990303
2182,on,2050,netzero,ref,low,low,ref,no,low,1.5544874
2183,on,2050,netzero,low,low,low,ref,no,low,1.664742564
2184,on,2050,netzero,high,low,low,ref,no,low,1.30674597
2185,on,2050,netzero,ref,low,high,ref,no,low,1.532151098
2186,on,2050,netzero,low,low,high,ref,no,low,1.656735067
2187,on,2050,netzero,high,low,high,ref,no,low,1.302131074
2188,on,2050,netzero,ref,low,ref,ref,yes,low,1.899603537
2189,on,2050,netzero,low,low,ref,ref,yes,low,1.952553534
2190,on,2050,netzero,high,low,ref,ref,yes,low,1.860326091
2191,on,2050,netzero,ref,ref,low,ref,no,low,1.512852626
2192,on,2050,netzero,ref,low,low,ref,yes,low,1.8977082
2193,on,2050,netzero,low,low,low,ref,yes,low,1.946782183
2194,on,2050,netzero,high,low,low,ref,yes,low,1.855012106
2195,on,2050,netzero,ref,low,high,ref,yes,low,1.902206264
2196,on,2050,netzero,low,low,high,ref,yes,low,1.947952431
2197,on,2050,netzero,high,low,high,ref,yes,low,1.855327044
2198,on,2050,netzero,ref,high,ref,ref,no,low,1.483184519
2199,on,2050,netzero,low,high,ref,ref,no,low,1.576273073
2200,on,2050,netzero,high,high,ref,ref,no,low,1.261327096
2201,on,2050,netzero,ref,high,low,ref,no,low,1.49654477
2202,on,2050,netzero,low,ref,low,ref,no,low,1.620688999
2203,on,2050,netzero,low,high,low,ref,no,low,1.598527645
2204,on,2050,netzero,high,high,low,ref,no,low,1.284634857
2205,on,2050,netzero,ref,high,high,ref,no,low,1.474299206
2206,on,2050,netzero,low,high,high,ref,no,low,1.57821749
2207,on,2050,netzero,high,high,high,ref,no,low,1.24669017
2208,on,2050,netzero,ref,high,ref,ref,yes,low,1.908774868
2209,on,2050,netzero,low,high,ref,ref,yes,low,1.962015483
2210,on,2050,netzero,high,high,ref,ref,yes,low,1.862759119
2211,on,2050,netzero,ref,high,low,ref,yes,low,1.904374823
2212,on,2050,netzero,low,high,low,ref,yes,low,1.957996395
2213,on,2050,netzero,high,ref,low,ref,no,low,1.290200262
2214,on,2050,netzero,high,high,low,ref,yes,low,1.86277314
2215,on,2050,netzero,ref,high,high,ref,yes,low,1.909907707
2216,on,2050,netzero,low,high,high,ref,yes,low,1.959088671
2217,on,2050,netzero,high,high,high,ref,yes,low,1.86439331
2218,on,2050,netzero,ref,ref,ref,low,no,low,1.476828368
2219,on,2050,netzero,low,ref,ref,low,no,low,1.621336107
2220,on,2050,netzero,high,ref,ref,low,no,low,1.255973818
2221,on,2050,netzero,ref,ref,low,low,no,low,1.491627673
2222,on,2050,netzero,low,ref,low,low,no,low,1.617101236
2223,on,2050,netzero,high,ref,low,low,no,low,1.259226366
2224,on,2050,netzero,ref,ref,high,ref,no,low,1.471904701
2225,on,2050,netzero,ref,ref,high,low,no,low,1.482746254
2226,on,2050,netzero,low,ref,high,low,no,low,1.614160264
2227,on,2050,netzero,high,ref,high,low,no,low,1.237118075
2228,on,2050,netzero,ref,ref,ref,low,yes,low,1.907447314
2229,on,2050,netzero,low,ref,ref,low,yes,low,1.947001957
2230,on,2050,netzero,high,ref,ref,low,yes,low,1.875108892
2231,on,2050,netzero,ref,ref,low,low,yes,low,1.906228259
2232,on,2050,netzero,low,ref,low,low,yes,low,1.945258582
2233,on,2050,netzero,high,ref,low,low,yes,low,1.87387853
2234,on,2050,netzero,ref,ref,high,low,yes,low,1.907401917
2235,on,2050,netzero,low,ref,high,ref,no,low,1.595781728
2236,on,2050,netzero,low,ref,high,low,yes,low,1.947562842
2237,on,2050,netzero,high,ref,high,low,yes,low,1.874597281
2238,on,2050,netzero,ref,low,ref,low,no,low,1.515290059
2239,on,2050,netzero,low,low,ref,low,no,low,1.643768162
2240,on,2050,netzero,high,low,ref,low,no,low,1.288697202
2241,on,2050,netzero,ref,low,low,low,no,low,1.514836636
2242,on,2050,netzero,low,low,low,low,no,low,1.644506963
2243,on,2050,netzero,high,low,low,low,no,low,1.288661777
2244,on,2050,netzero,ref,low,high,low,no,low,1.517507751
2245,on,2050,netzero,low,low,high,low,no,low,1.64611064
2246,on,2050,netzero,high,ref,high,ref,no,low,1.260245221
2247,on,2050,netzero,high,low,high,low,no,low,1.280011601
2248,on,2050,netzero,ref,low,ref,low,yes,low,1.901797732
2249,on,2050,netzero,low,low,ref,low,yes,low,1.945897596
2250,on,2050,netzero,high,low,ref,low,yes,low,1.859958287
2251,on,2050,netzero,ref,low,low,low,yes,low,1.901095356
2252,on,2050,netzero,low,low,low,low,yes,low,1.943897048
2253,on,2050,netzero,high,low,low,low,yes,low,1.860520386
2254,on,2050,netzero,ref,low,high,low,yes,low,1.897283843
2255,on,2050,netzero,low,low,high,low,yes,low,1.946709739
2256,on,2050,netzero,high,low,high,low,yes,low,1.860481061
2257,on,2050,netzero,ref,ref,ref,ref,yes,low,1.909619641
2258,on,2050,netzero,ref,high,ref,low,no,low,1.473654091
2259,on,2050,netzero,low,high,ref,low,no,low,1.606567868
2260,on,2050,netzero,high,high,ref,low,no,low,1.236039381
2261,on,2050,netzero,ref,high,low,low,no,low,1.472750171
2262,on,2050,netzero,low,high,low,low,no,low,1.609501616
2263,on,2050,netzero,high,high,low,low,no,low,1.231112533
2264,on,2050,netzero,ref,high,high,low,no,low,1.472224042
2265,on,2050,netzero,low,high,high,low,no,low,1.60125134
2266,on,2050,netzero,high,high,high,low,no,low,1.223340036
2267,on,2050,netzero,ref,high,ref,low,yes,low,1.906692269
