id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
2177,on,2050,netzero,high,ref,high,ref,yes,low,4.947294344
2178,on,2050,netzero,ref,low,ref,ref,no,low,7.389675264
2179,on,2050,netzero,low,low,ref,ref,no,low,7.596169995
2180,on,2050,netzero,high,ref,ref,ref,no,low,6.923403688
2181,on,2050,netzero,high,low,ref,ref,no,low,6.809420619
2182,on,2050,netzero,ref,low,low,ref,no,low,7.361574246
2183,on,2050,netzero,low,low,low,ref,no,low,7.587309204
2184,on,2050,netzero,high,low,low,ref,no,low,6.962881245
2185,on,2050,netzero,ref,low,high,ref,no,low,7.378637897
2186,on,2050,netzero,low,low,high,ref,no,low,7.593400314
2187,on,2050,netzero,high,low,high,ref,no,low,6.777408129
2188,on,2050,netzero,ref,low,ref,ref,yes,low,5.825286988
2189,on,2050,netzero,low,low,ref,ref,yes,low,6.37325998
2190,on,2050,netzero,high,low,ref,ref,yes,low,4.834212093
2191,on,2050,netzero,ref,ref,low,ref,no,low,7.286394832
2192,on,2050,netzero,ref,low,low,ref,yes,low,5.903837292
2193,on,2050,netzero,low,low,low,ref,yes,low,6.33359946
2194,on,2050,netzero,high,low,low,ref,yes,low,4.907701173
2195,on,2050,netzero,ref,low,high,ref,yes,low,5.863958869
2196,on,2050,netzero,low,low,high,ref,yes,low,6.31864653
2197,on,2050,netzero,high,low,high,ref,yes,low,4.749792586
2198,on,2050,netzero,ref,high,ref,ref,no,low,7.272350845
2199,on,2050,netzero,low,high,ref,ref,no,low,7.44041281
2200,on,2050,netzero,high,high,ref,ref,no,low,6.912117777
2201,on,2050,netzero,ref,high,low,ref,no,low,7.309351306
2202,on,2050,netzero,low,ref,low,ref,no,low,7.484223867
2203,on,2050,netzero,low,high,low,ref,no,low,7.458102981
2204,on,2050,netzero,high,high,low,ref,no,low,6.990147038
2205,on,2050,netzero,ref,high,high,ref,no,low,7.290900992
2206,on,2050,netzero,low,high,high,ref,no,low,7.439399448
2207,on,2050,netzero,high,high,high,ref,no,low,6.865399645
2208,on,2050,netzero,ref,high,ref,ref,yes,low,5.911396016
2209,on,2050,netzero,low,high,ref,ref,yes,low,6.35331504
2210,on,2050,netzero,high,high,ref,ref,yes,low,4.959102419
2211,on,2050,netzero,ref,high,low,ref,yes,low,5.937375455
2212,on,2050,netzero,low,high,low,ref,yes,low,6.354724673
2213,on,2050,netzero,high,ref,low,ref,no,low,6.968437531
2214,on,2050,netzero,high,high,low,ref,yes,low,5.073292063
2215,on,2050,netzero,ref,high,high,ref,yes,low,5.903018906
2216,on,2050,netzero,low,high,high,ref,yes,low,6.341196144
2217,on,2050,netzero,high,high,high,ref,yes,low,4.926990296
2218,on,2050,netzero,ref,ref,ref,low,no,low,7.258110145
2219,on,2050,netzero,low,ref,ref,low,no,low,7.478212066
2220,on,2050,netzero,high,ref,ref,low,no,low,6.784122957
2221,on,2050,netzero,ref,ref,low,low,no,low,7.226869898
2222,on,2050,netzero,low,ref,low,low,no,low,7.460544791
2223,on,2050,netzero,high,ref,low,low,no,low,6.842126077
2224,on,2050,netzero,ref,ref,high,ref,no,low,7.251093549
2225,on,2050,netzero,ref,ref,high,low,no,low,7.347397957
2226,on,2050,netzero,low,ref,high,low,no,low,7.478798244
2227,on,2050,netzero,high,ref,high,low,no,low,6.730971166
2228,on,2050,netzero,ref,ref,ref,low,yes,low,5.645563813
2229,on,2050,netzero,low,ref,ref,low,yes,low,6.032934402
2230,on,2050,netzero,high,ref,ref,low,yes,low,4.65693127
2231,on,2050,netzero,ref,ref,low,low,yes,low,5.689189559
2232,on,2050,netzero,low,ref,low,low,yes,low,6.043179084
2233,on,2050,netzero,high,ref,low,low,yes,low,4.747868584
2234,on,2050,netzero,ref,ref,high,low,yes,low,5.630488071
2235,on,2050,netzero,low,ref,high,ref,no,low,7.427012794
2236,on,2050,netzero,low,ref,high,low,yes,low,6.030714686
2237,on,2050,netzero,high,ref,high,low,yes,low,4.639099028
2238,on,2050,netzero,ref,low,ref,low,no,low,7.244111438
2239,on,2050,netzero,low,low,ref,low,no,low,7.436901774
2240,on,2050,netzero,high,low,ref,low,no,low,6.737136544
2241,on,2050,netzero,ref,low,low,low,no,low,7.182340123
2242,on,2050,netzero,low,low,low,low,no,low,7.420736215
2243,on,2050,netzero,high,low,low,low,no,low,6.880722239
2244,on,2050,netzero,ref,low,high,low,no,low,7.364314789
2245,on,2050,netzero,low,low,high,low,no,low,7.441556493
2246,on,2050,netzero,high,ref,high,ref,no,low,6.867874802
2247,on,2050,netzero,high,low,high,low,no,low,6.694935303
2248,on,2050,netzero,ref,low,ref,low,yes,low,5.607587063
2249,on,2050,netzero,low,low,ref,low,yes,low,6.042189816
2250,on,2050,netzero,high,low,ref,low,yes,low,4.51082988
2251,on,2050,netzero,ref,low,low,low,yes,low,5.662897391
2252,on,2050,netzero,low,low,low,low,yes,low,6.052485136
2253,on,2050,netzero,high,low,low,low,yes,low,4.610840418
2254,on,2050,netzero,ref,low,high,low,yes,low,5.540317724
2255,on,2050,netzero,low,low,high,low,yes,low,6.039576502
2256,on,2050,netzero,high,low,high,low,yes,low,4.489878059
2257,on,2050,netzero,ref,ref,ref,ref,yes,low,5.929502964
2258,on,2050,netzero,ref,high,ref,low,no,low,7.287868545
2259,on,2050,netzero,low,high,ref,low,no,low,7.461333783
2260,on,2050,netzero,high,high,ref,low,no,low,6.794610535
2261,on,2050,netzero,ref,high,low,low,no,low,7.232080147
2262,on,2050,netzero,low,high,low,low,no,low,7.461612842
2263,on,2050,netzero,high,high,low,low,no,low,6.841501778
2264,on,2050,netzero,ref,high,high,low,no,low,7.292679322
2265,on,2050,netzero,low,high,high,low,no,low,7.459902977
2266,on,2050,netzero,high,high,high,low,no,low,6.774251736
2267,on,2050,netzero,ref,high,ref,low,yes,low,5.629488959
