id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_name
84567,on,2020,netzero,low,high,high,ref,no,high,516.6922652,electricity
84630,on,2020,netzero,high,high,high,ref,no,high,516.5500893,electricity
84693,on,2020,netzero,ref,high,ref,ref,yes,high,516.6050993,electricity
84756,on,2020,netzero,low,high,ref,ref,yes,high,516.6922652,electricity
84819,on,2020,netzero,high,high,ref,ref,yes,high,516.5500893,electricity
84882,on,2020,netzero,ref,high,low,ref,yes,high,516.6050993,electricity
84945,on,2020,netzero,low,high,low,ref,yes,high,516.6922652,electricity
85008,on,2020,netzero,high,ref,low,ref,no,high,516.5531385,electricity
85071,on,2020,netzero,high,high,low,ref,yes,high,516.5500893,electricity
85134,on,2020,netzero,ref,high,high,ref,yes,high,516.6050993,electricity
85197,on,2020,netzero,low,high,high,ref,yes,high,516.6922652,electricity
85260,on,2020,netzero,high,high,high,ref,yes,high,516.5500893,electricity
85323,on,2020,netzero,ref,ref,ref,low,no,high,516.6085162,electricity
85386,on,2020,netzero,low,ref,ref,low,no,high,516.6951154,electricity
85449,on,2020,netzero,high,ref,ref,low,no,high,516.5531385,electricity
85512,on,2020,netzero,ref,ref,low,low,no,high,516.6085162,electricity
85575,on,2020,netzero,low,ref,low,low,no,high,516.6951154,electricity
85638,on,2020,netzero,high,ref,low,low,no,high,516.5531385,electricity
85701,on,2020,netzero,ref,ref,high,ref,no,high,516.6085162,electricity
85764,on,2020,netzero,ref,ref,high,low,no,high,516.6085162,electricity
85827,on,2020,netzero,low,ref,high,low,no,high,516.6951154,electricity
85890,on,2020,netzero,high,ref,high,low,no,high,516.5531385,electricity
85953,on,2020,netzero,ref,ref,ref,low,yes,high,516.6085162,electricity
86016,on,2020,netzero,low,ref,ref,low,yes,high,516.6951154,electricity
86079,on,2020,netzero,high,ref,ref,low,yes,high,516.5531385,electricity
86142,on,2020,netzero,ref,ref,low,low,yes,high,516.6085162,electricity
86205,on,2020,netzero,low,ref,low,low,yes,high,516.6951154,electricity
86268,on,2020,netzero,high,ref,low,low,yes,high,516.5531385,electricity
86331,on,2020,netzero,ref,ref,high,low,yes,high,516.6085162,electricity
86394,on,2020,netzero,low,ref,high,ref,no,high,516.6951154,electricity
