id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_type,fuel_phase
37044,on,2020,netzero,high,low,high,ref,no,high,0.0,biofuel,gas
37072,on,2020,netzero,ref,low,ref,ref,yes,high,0.0,biofuel,gas
37100,on,2020,netzero,low,low,ref,ref,yes,high,0.0,biofuel,gas
37128,on,2020,netzero,high,low,ref,ref,yes,high,0.0,biofuel,gas
37156,on,2020,netzero,ref,ref,low,ref,no,high,0.0,biofuel,gas
37184,on,2020,netzero,ref,low,low,ref,yes,high,0.0,biofuel,gas
37212,on,2020,netzero,low,low,low,ref,yes,high,0.0,biofuel,gas
37240,on,2020,netzero,high,low,low,ref,yes,high,0.0,biofuel,gas
37268,on,2020,netzero,ref,low,high,ref,yes,high,0.0,biofuel,gas
37296,on,2020,netzero,low,low,high,ref,yes,high,0.0,biofuel,gas
37324,on,2020,netzero,high,low,high,ref,yes,high,0.0,biofuel,gas
37352,on,2020,netzero,ref,high,ref,ref,no,high,0.0,biofuel,gas
37380,on,2020,netzero,low,high,ref,ref,no,high,0.0,biofuel,gas
37408,on,2020,netzero,high,high,ref,ref,no,high,0.0,biofuel,gas
37436,on,2020,netzero,ref,high,low,ref,no,high,0.0,biofuel,gas
37464,on,2020,netzero,low,ref,low,ref,no,high,0.0,biofuel,gas
37492,on,2020,netzero,low,high,low,ref,no,high,0.0,biofuel,gas
37520,on,2020,netzero,high,high,low,ref,no,high,0.0,biofuel,gas
37548,on,2020,netzero,ref,high,high,ref,no,high,0.0,biofuel,gas
37576,on,2020,netzero,low,high,high,ref,no,high,0.0,biofuel,gas
37604,on,2020,netzero,high,high,high,ref,no,high,0.0,biofuel,gas
37632,on,2020,netzero,ref,high,ref,ref,yes,high,0.0,biofuel,gas
37660,on,2020,netzero,low,high,ref,ref,yes,high,0.0,biofuel,gas
37688,on,2020,netzero,high,high,ref,ref,yes,high,0.0,biofuel,gas
37716,on,2020,netzero,ref,high,low,ref,yes,high,0.0,biofuel,gas
37744,on,2020,netzero,low,high,low,ref,yes,high,0.0,biofuel,gas
37772,on,2020,netzero,high,ref,low,ref,no,high,0.0,biofuel,gas
37800,on,2020,netzero,high,high,low,ref,yes,high,0.0,biofuel,gas
37828,on,2020,netzero,ref,high,high,ref,yes,high,0.0,biofuel,gas
37856,on,2020,netzero,low,high,high,ref,yes,high,0.0,biofuel,gas
37884,on,2020,netzero,high,high,high,ref,yes,high,0.0,biofuel,gas
37912,on,2020,netzero,ref,ref,ref,low,no,high,0.0,biofuel,gas
37940,on,2020,netzero,low,ref,ref,low,no,high,0.0,biofuel,gas
37968,on,2020,netzero,high,ref,ref,low,no,high,0.0,biofuel,gas
37996,on,2020,netzero,ref,ref,low,low,no,high,0.0,biofuel,gas
38024,on,2020,netzero,low,ref,low,low,no,high,0.0,biofuel,gas
38052,on,2020,netzero,high,ref,low,low,no,high,0.0,biofuel,gas
38080,on,2020,netzero,ref,ref,high,ref,no,high,0.0,biofuel,gas
38108,on,2020,netzero,ref,ref,high,low,no,high,0.0,biofuel,gas
38136,on,2020,netzero,low,ref,high,low,no,high,0.0,biofuel,gas
38164,on,2020,netzero,high,ref,high,low,no,high,0.0,biofuel,gas
