id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
61369,on,2020,netzero,ref,ref,low,ref,no,low,275.3694965,transport
61397,on,2020,netzero,ref,low,low,ref,yes,low,275.3278313,transport
61425,on,2020,netzero,low,low,low,ref,yes,low,272.6058291,transport
61453,on,2020,netzero,high,low,low,ref,yes,low,278.5587926,transport
61481,on,2020,netzero,ref,low,high,ref,yes,low,275.3278313,transport
61509,on,2020,netzero,low,low,high,ref,yes,low,272.6058291,transport
61537,on,2020,netzero,high,low,high,ref,yes,low,278.5587926,transport
61565,on,2020,netzero,ref,high,ref,ref,no,low,275.4075388,transport
61593,on,2020,netzero,low,high,ref,ref,no,low,272.7386028,transport
61621,on,2020,netzero,high,high,ref,ref,no,low,278.6828858,transport
61649,on,2020,netzero,ref,high,low,ref,no,low,275.4075388,transport
61677,on,2020,netzero,low,ref,low,ref,no,low,272.679399,transport
61705,on,2020,netzero,low,high,low,ref,no,low,272.7386028,transport
61733,on,2020,netzero,high,high,low,ref,no,low,278.62225,transport
61761,on,2020,netzero,ref,high,high,ref,no,low,275.4075388,transport
61789,on,2020,netzero,low,high,high,ref,no,low,272.7386028,transport
61817,on,2020,netzero,high,high,high,ref,no,low,278.6828858,transport
61845,on,2020,netzero,ref,high,ref,ref,yes,low,275.4075388,transport
61873,on,2020,netzero,low,high,ref,ref,yes,low,272.7386028,transport
61901,on,2020,netzero,high,high,ref,ref,yes,low,278.6828858,transport
61929,on,2020,netzero,ref,high,low,ref,yes,low,275.4075388,transport
61957,on,2020,netzero,low,high,low,ref,yes,low,272.7386028,transport
61985,on,2020,netzero,high,ref,low,ref,no,low,278.6242049,transport
62013,on,2020,netzero,high,high,low,ref,yes,low,278.6828858,transport
62041,on,2020,netzero,ref,high,high,ref,yes,low,275.4075388,transport
62069,on,2020,netzero,low,high,high,ref,yes,low,272.7386028,transport
62097,on,2020,netzero,high,high,high,ref,yes,low,278.6828858,transport
62125,on,2020,netzero,ref,ref,ref,low,no,low,275.3694965,transport
62153,on,2020,netzero,low,ref,ref,low,no,low,272.679399,transport
62181,on,2020,netzero,high,ref,ref,low,no,low,278.6242049,transport
62209,on,2020,netzero,ref,ref,low,low,no,low,275.3694965,transport
62237,on,2020,netzero,low,ref,low,low,no,low,272.679399,transport
62265,on,2020,netzero,high,ref,low,low,no,low,278.6242049,transport
62293,on,2020,netzero,ref,ref,high,ref,no,low,275.3694965,transport
62321,on,2020,netzero,ref,ref,high,low,no,low,275.3694965,transport
62349,on,2020,netzero,low,ref,high,low,no,low,272.679399,transport
62377,on,2020,netzero,high,ref,high,low,no,low,278.6242049,transport
62405,on,2020,netzero,ref,ref,ref,low,yes,low,275.3694965,transport
62433,on,2020,netzero,low,ref,ref,low,yes,low,272.679399,transport
62461,on,2020,netzero,high,ref,ref,low,yes,low,278.6242049,transport
62489,on,2020,netzero,ref,ref,low,low,yes,low,275.3694965,transport
62517,on,2020,netzero,low,ref,low,low,yes,low,272.679399,transport
62545,on,2020,netzero,high,ref,low,low,yes,low,278.6242049,transport
62573,on,2020,netzero,ref,ref,high,low,yes,low,275.3694965,transport
62601,on,2020,netzero,low,ref,high,ref,no,low,272.679399,transport
62629,on,2020,netzero,low,ref,high,low,yes,low,272.679399,transport
62657,on,2020,netzero,high,ref,high,low,yes,low,278.6242049,transport
62685,on,2020,netzero,ref,low,ref,low,no,low,275.3278313,transport
62713,on,2020,netzero,low,low,ref,low,no,low,272.6058291,transport
62741,on,2020,netzero,high,low,ref,low,no,low,278.5587926,transport
62769,on,2020,netzero,ref,low,low,low,no,low,275.3278313,transport
62797,on,2020,netzero,low,low,low,low,no,low,272.6058291,transport
62825,on,2020,netzero,high,low,low,low,no,low,278.5587926,transport
62853,on,2020,netzero,ref,low,high,low,no,low,275.3278313,transport
62881,on,2020,netzero,low,low,high,low,no,low,272.6058291,transport
62909,on,2020,netzero,high,ref,high,ref,no,low,278.6242049,transport
62937,on,2020,netzero,high,low,high,low,no,low,278.5587926,transport
62965,on,2020,netzero,ref,low,ref,low,yes,low,275.3278313,transport
62993,on,2020,netzero,low,low,ref,low,yes,low,272.6058291,transport
63021,on,2020,netzero,high,low,ref,low,yes,low,278.5587926,transport
63049,on,2020,netzero,ref,low,low,low,yes,low,275.3278313,transport
63077,on,2020,netzero,low,low,low,low,yes,low,272.6058291,transport
63105,on,2020,netzero,high,low,low,low,yes,low,278.5587926,transport
63133,on,2020,netzero,ref,low,high,low,yes,low,275.3278313,transport
63161,on,2020,netzero,low,low,high,low,yes,low,272.6058291,transport
63189,on,2020,netzero,high,low,high,low,yes,low,278.5587926,transport
63217,on,2020,netzero,ref,ref,ref,ref,yes,low,275.3694965,transport
63245,on,2020,netzero,ref,high,ref,low,no,low,275.4075388,transport
63273,on,2020,netzero,low,high,ref,low,no,low,272.7386028,transport
63301,on,2020,netzero,high,high,ref,low,no,low,278.6828858,transport
63329,on,2020,netzero,ref,high,low,low,no,low,275.4075388,transport
63357,on,2020,netzero,low,high,low,low,no,low,272.7386028,transport
63385,on,2020,netzero,high,high,low,low,no,low,278.6828858,transport
63413,on,2020,netzero,ref,high,high,low,no,low,275.4075388,transport
63441,on,2020,netzero,low,high,high,low,no,low,272.7386028,transport
63469,on,2020,netzero,high,high,high,low,no,low,278.6828858,transport
63497,on,2020,netzero,ref,high,ref,low,yes,low,275.4075388,transport
12118,on,2025,legislated,ref,ref,ref,ref,no,high,586.528485,transport
12146,on,2025,legislated,low,ref,ref,ref,no,high,808.2183742,transport
12174,on,2025,legislated,low,ref,ref,ref,yes,high,808.2183742,transport
12202,on,2025,legislated,low,high,ref,low,yes,high,743.5359248,transport
12230,on,2025,legislated,high,high,ref,low,yes,high,394.0043258,transport
12258,on,2025,legislated,ref,high,low,low,yes,high,545.138603,transport
12286,on,2025,legislated,low,high,low,low,yes,high,743.5111807,transport
12314,on,2025,legislated,high,high,low,low,yes,high,393.9963073,transport
12342,on,2025,legislated,ref,high,high,low,yes,high,545.1558533,transport
12370,on,2025,legislated,low,high,high,low,yes,high,743.5462374,transport
12398,on,2025,legislated,high,high,high,low,yes,high,394.0046447,transport
12426,on,2025,legislated,high,ref,ref,ref,yes,high,413.4305193,transport
12454,on,2025,legislated,ref,ref,low,ref,yes,high,586.5117027,transport
12482,on,2025,legislated,low,ref,low,ref,yes,high,808.1920313,transport
12510,on,2025,legislated,high,ref,low,ref,yes,high,413.419212,transport
12538,on,2025,legislated,ref,ref,high,ref,yes,high,586.5317886,transport
12566,on,2025,legislated,low,ref,high,ref,yes,high,808.2235915,transport
12594,on,2025,legislated,high,ref,high,ref,yes,high,413.4308047,transport
