region,period,commodity,demand,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
ON,2045,T_D_pkm_ldv_t,185.07138470429436,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
AB,2025,T_D_pkm_ldv_t,32.72757553464019,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
AB,2030,T_D_pkm_ldv_t,35.800434751152835,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
AB,2035,T_D_pkm_ldv_t,38.76123038404541,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
AB,2040,T_D_pkm_ldv_t,41.45933111190234,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
AB,2045,T_D_pkm_ldv_t,44.69451781599502,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
BCT,2025,T_D_pkm_ldv_t,38.21771783581929,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
BCT,2030,T_D_pkm_ldv_t,41.80605777751697,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
BCT,2035,T_D_pkm_ldv_t,45.263535156116156,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
BCT,2040,T_D_pkm_ldv_t,48.414249824873494,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
BCT,2045,T_D_pkm_ldv_t,52.19214814405517,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
MB,2025,T_D_pkm_ldv_t,14.096183094369932,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
MB,2030,T_D_pkm_ldv_t,15.419702647272269,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
MB,2035,T_D_pkm_ldv_t,16.694954989202994,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
MB,2040,T_D_pkm_ldv_t,17.85706129392051,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
MB,2045,T_D_pkm_ldv_t,19.250497360612734,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NB,2025,T_D_pkm_ldv_t,8.156168047754324,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NB,2030,T_D_pkm_ldv_t,8.921967400365714,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NB,2035,T_D_pkm_ldv_t,9.659838945765372,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NB,2040,T_D_pkm_ldv_t,10.33224325884616,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NB,2045,T_D_pkm_ldv_t,11.138496884218183,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NLLAB,2025,T_D_pkm_ldv_t,6.281600304963668,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NLLAB,2030,T_D_pkm_ldv_t,6.871392646016422,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NLLAB,2035,T_D_pkm_ldv_t,7.439675949826313,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NLLAB,2040,T_D_pkm_ldv_t,7.957538641396298,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NLLAB,2045,T_D_pkm_ldv_t,8.578487472926248,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NS,2025,T_D_pkm_ldv_t,12.43059429193293,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NS,2030,T_D_pkm_ldv_t,13.597728294763842,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NS,2035,T_D_pkm_ldv_t,14.722298284828003,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NS,2040,T_D_pkm_ldv_t,15.747091443467555,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
NS,2045,T_D_pkm_ldv_t,16.975880705130592,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
PEI,2025,T_D_pkm_ldv_t,1.8601528683373714,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
PEI,2030,T_D_pkm_ldv_t,2.0348064377575352,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
PEI,2035,T_D_pkm_ldv_t,2.203090595661517,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
