region,period,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
NB,2045,T_LDV_LTF_BEV200_N,2040,121.9056162307341,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV200_N,2045,91.24122578058831,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV300_N,2025,186.71344830835625,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV300_N,2030,180.97068896675464,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV300_N,2035,153.316272019029,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV300_N,2040,124.34558499938986,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV300_N,2045,91.24122578058831,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV400_N,2025,205.6386073791508,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV400_N,2030,195.2657216479401,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV400_N,2035,161.63285264675318,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV400_N,2040,128.30550019056625,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_BEV400_N,2045,91.24122578058831,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_CNG_N,2025,287.8325311293311,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_CNG_N,2030,287.89992218208283,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_CNG_N,2035,251.5707024012711,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_CNG_N,2040,205.90267398472852,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_CNG_N,2045,151.07153776785935,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_DSL_N,2025,280.767100434326,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_DSL_N,2030,280.95235679793774,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_DSL_N,2035,246.42126244304188,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_DSL_N,2040,203.0925484817405,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_DSL_N,2045,151.07153776785935,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_FCEV400_N,2025,193.41639114859296,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_FCEV400_N,2030,186.7836737359149,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_FCEV400_N,2035,157.93810228982323,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_FCEV400_N,2040,127.0501549692562,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_FCEV400_N,2045,91.24122578058831,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_HEV_N,2025,257.1408563626662,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_HEV_N,2030,254.72298248530768,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_HEV_N,2035,223.40072337914012,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_HEV_N,2040,185.43327102472287,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_HEV_N,2045,140.6012331700869,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_N,2025,269.8764886631658,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_N,2030,271.2641572381524,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_N,2035,241.99866070271185,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_N,2040,200.68020916919122,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_N,2045,151.07153776785935,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_PHEV35_N,2025,249.61813394928578,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_PHEV35_N,2030,245.33364392210302,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
NB,2045,T_LDV_LTF_GSL_PHEV35_N,2035,213.7861073142111,$M 2020CAD / bn tonne-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-freight-light-trucks-aa891dec:composite:1:154b1e76eedf12e2
