region,period,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
ON,2035,T_HDV_WTF_MDO_N,2035,7.9857489618026225,$M 2020CAD / bn tonne-km,Class-specific OEO OPEX/CAPEX ratio on CIMS service baseline; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-variable-freight-marine-55892785:composite:1:d555448a4d8191a9
ON,2040,T_HDV_AJF_JFL_EX,2015,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_JFL_EX,2020,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_JFL_EX,2023,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_JFL_N,2025,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_JFL_N,2030,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_JFL_N,2035,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_JFL_N,2040,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_SPK_N,2025,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_SPK_N,2030,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_SPK_N,2035,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJF_SPK_N,2040,123.92235600905248,$M 2020CAD / bn tonne-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-freight-air-ca647c9e:composite:1:c219a0e16359006f
ON,2040,T_HDV_AJP_JFL_EX,2015,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_JFL_EX,2020,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_JFL_EX,2023,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_JFL_N,2025,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_JFL_N,2030,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_JFL_N,2035,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_JFL_N,2040,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_SPK_N,2025,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_SPK_N,2030,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_SPK_N,2035,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_AJP_SPK_N,2040,13.758879463241271,$M 2020CAD / bn passenger-km,FAA All Aircraft maintenance per block-hour and service output; Mid; CER Current Measures,T13,5,5,5,5,5,transport-cost-variable-passenger-air-ca647c9e:composite:1:10f732ca9ff6c7ab
ON,2040,T_HDV_RF_DSL_EX,2020,2.3463612236711793,$M 2020CAD / bn tonne-km,Class-specific OEO OPEX/CAPEX ratio on CIMS service baseline; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-variable-freight-rail-55892785:composite:1:7ef1943d9c737d2c
ON,2040,T_HDV_RF_DSL_EX,2023,2.3463612236711793,$M 2020CAD / bn tonne-km,Class-specific OEO OPEX/CAPEX ratio on CIMS service baseline; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-variable-freight-rail-55892785:composite:1:7ef1943d9c737d2c
ON,2040,T_HDV_RF_DSL_N,2025,2.3463612236711793,$M 2020CAD / bn tonne-km,Class-specific OEO OPEX/CAPEX ratio on CIMS service baseline; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-variable-freight-rail-55892785:composite:1:7ef1943d9c737d2c
