tech,vintage,fixed,invest,var,var_upstream,var_total,lifetime,emission_per_activity,upstream_emission_per_activity,cost_per_emission,emission_activity_cost,emission_upstream_cost,emission,capfac,lcoe
E_NUC_PWR-NEW,2040.0,200.3426815365269,4865.46512302994,0.8904126302696539,3.717966346729602,4.608378976999256,60.0,0.0,0.0,0.44738999999999995,0.0,0.0,0.0,1.0,12.817934575613368
E_NUC_PWR-NEW,2045.0,200.3426815365269,4293.0574614970055,0.8904126302696539,3.717966346729602,4.608378976999256,60.0,0.0,0.0,0.481404,0.0,0.0,0.0,1.0,12.162087847572092
E_NUC_SMR-NEW,2025.0,155.69488393695806,9158.522584526943,0.8268117281075359,3.2514938613868485,4.078305589494384,60.0,0.0,0.0,0.35476500000000005,0.0,0.0,0.0,1.0,16.25741175934527
E_NUC_SMR-NEW,2030.0,155.69488393695806,7441.299599928142,0.8268117281075359,3.2514938613868485,4.078305589494384,60.0,0.0,0.0,0.38406900000000005,0.0,0.0,0.0,1.0,14.289871575221444
E_NUC_SMR-NEW,2035.0,155.69488393695806,6010.280446095808,0.8268117281075359,3.2514938613868485,4.078305589494384,60.0,0.0,0.0,0.41430199999999995,0.0,0.0,0.0,1.0,12.650254755118251
E_NUC_SMR-NEW,2040.0,155.69488393695806,5151.668953796407,0.8268117281075359,3.2514938613868485,4.078305589494384,60.0,0.0,0.0,0.44738999999999995,0.0,0.0,0.0,1.0,11.666484663056336
E_NUC_SMR-NEW,2045.0,155.69488393695806,4579.261292263472,0.8268117281075359,3.2514938613868485,4.078305589494384,60.0,0.0,0.0,0.481404,0.0,0.0,0.0,1.0,11.01063793501506
E_SOL_PV-NEW-1,2025.0,26.62794785087422,1565.440603504237,0.0,,,30.0,,,,,,0.0,0.21539891425980465,15.677666336154806
E_SOL_PV-NEW-1,2030.0,23.376812365606746,1302.9261063951114,0.0,,,30.0,,,,,,0.0,0.22161933890619165,12.856102207386492
E_SOL_PV-NEW-1,2035.0,20.173946502731482,1040.411609285985,0.0,,,30.0,,,,,,0.0,0.22786207469575429,10.194325054199503
E_SOL_PV-NEW-1,2040.0,19.297739379542946,958.1296486787224,0.0,,,30.0,,,,,,0.0,0.23211171083650028,9.31447670879963
E_SOL_PV-NEW-1,2045.0,18.4216141192794,875.8476880714601,0.0,,,30.0,,,,,,0.0,0.23631829426200793,8.4678200390077
E_SOL_PV-NEW-2,2025.0,26.62794785087422,1565.4571170950717,0.0,,,30.0,,,,,,0.0,0.19281728276795518,17.51388140270228
E_SOL_PV-NEW-2,2030.0,23.376812365606746,1302.9426199859458,0.0,,,30.0,,,,,,0.0,0.19838558092814226,14.361868310366162
E_SOL_PV-NEW-2,2035.0,20.173946502731482,1040.4281228768193,0.0,,,30.0,,,,,,0.0,0.20395387908832918,11.38947090984637
E_SOL_PV-NEW-2,2040.0,19.297739379542946,958.1461622695566,0.0,,,30.0,,,,,,0.0,0.2078520060607463,10.401755947683231
E_SOL_PV-NEW-2,2045.0,18.4216141192794,875.8642016622945,0.0,,,30.0,,,,,,0.0,0.2117501330331635,9.450419109189333
E_SOL_PV-NEW-3,2025.0,26.62794785087422,1565.432433600085,0.0,,,30.0,,,,,,0.0,0.2226526876549156,15.166846289390502
E_SOL_PV-NEW-3,2030.0,23.376812365606746,1302.9179364909594,0.0,,,30.0,,,,,,0.0,0.22908259130894437,12.43720720321155
E_SOL_PV-NEW-3,2035.0,20.173946502731482,1040.4034393818329,0.0,,,30.0,,,,,,0.0,0.23551249496297297,9.863115075845776
E_SOL_PV-NEW-3,2040.0,19.297739379542946,958.1214787745703,0.0,,,30.0,,,,,,0.0,0.2400137950267919,9.007756853440139
E_SOL_PV-NEW-3,2045.0,18.4216141192794,875.839518167308,0.0,,,30.0,,,,,,0.0,0.24451509509061095,8.183901978080097
E_SOL_PV-NEW-4,2025.0,26.62794785087422,1565.444799775166,0.0,,,30.0,,,,,,0.0,0.22148469238168955,15.246918689464717
E_SOL_PV-NEW-4,2030.0,23.376812365606746,1302.9303026660402,0.0,,,30.0,,,,,,0.0,0.2278808659372663,12.50288236865516
E_SOL_PV-NEW-4,2035.0,20.173946502731482,1040.4158055569137,0.0,,,30.0,,,,,,0.0,0.2342770394928429,9.915213418996883
E_SOL_PV-NEW-4,2040.0,19.297739379542946,958.133844949651,0.0,,,30.0,,,,,,0.0,0.23875472655987617,9.055342879896907
E_SOL_PV-NEW-4,2045.0,18.4216141192794,875.8518843423889,0.0,,,30.0,,,,,,0.0,0.24321141547203762,8.227852186220723
E_SOL_PV-NEW-5,2025.0,26.62794785087422,1565.432751248067,0.0,,,30.0,,,,,,0.0,0.18821733424030154,17.94170349455951
E_SOL_PV-NEW-5,2030.0,23.376812365606746,1302.9182541389414,0.0,,,30.0,,,,,,0.0,0.19365279220817913,14.712662472685725
E_SOL_PV-NEW-5,2035.0,20.173946502731482,1040.4037570298149,0.0,,,30.0,,,,,,0.0,0.19908825017605655,11.667626549830556
E_SOL_PV-NEW-5,2040.0,19.297739379542946,958.1217964225523,0.0,,,30.0,,,,,,0.0,0.20289338142127555,10.655775983534213
E_SOL_PV-NEW-5,2045.0,18.4216141192794,875.8398358152901,0.0,,,30.0,,,,,,0.0,0.20669851266649455,9.681192469465605
E_WND_ON-NEW-1,2025.0,37.48333333333329,1590.9967544663618,0.0,,,30.0,,,,,,0.0,0.5189556004953433,7.250175772349898
