HOUSEID,PERSONID,TRIPID,SEQ_TRIPID,VEHCASEID,FRSTHM,PARK,HHMEMDRV,TDWKND,TRAVDAY,LOOP_TRIP,DWELTIME,PUBTRANS,TRIPPURP,WHYFROM,WHYTRP1S,TRVLCMIN,STRTTIME,ENDTIME,TRPHHVEH,VEHID,TRPTRANS,NUMONTRP,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,NONHHCNT,HHACCCNT,WHODROVE,DRVR_FLG,PSGR_FLG,WHODROVE_IMP,PARK2_PAMOUNT,PARK2_PAYTYPE,PARK2,WHYTO,WALK,TRPMILES,WTTRDFIN,WTTRDFIN5D,WTTRDFIN2D,TDCASEID,VMT_MILE,GASPRICE,WHYTRP90,NUMADLT,HOMEOWN,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CDIVMSAR,HHFAMINC,HH_RACE,HHSIZE,HHVEHCNT,LIF_CYC,MSACAT,MSASIZE,URBAN,URBANSIZE,URBRUR,TDAYDATE,WRKCOUNT,STRATUMID,R_AGE,R_SEX,WORKER,DRIVER,R_RACE,R_HISP,PROXY,EDUC,PRMACT,R_SEX_IMP,VEHTYPE
9000013045,2,3,3,9.00001E+11,1,-1,1,2,2,2,-9,2,2,13,1,15,1705,1720,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,1,1,-1,-1,-1,1,1,3.706028589,1953518.686,1665765.806,0,9.00001E+13,-1,355.1,5,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,34,2,1,2,1,2,2,8,-1,2,1
9000013068,1,1,1,9.00001E+11,1,2,1,1,1,2,330,2,3,1,50,90,1200,1330,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,1,2,1,-1,-1,-1,17,1,95.20882536,2636050.151,0,1041517.997,9.00001E+13,95.20882536,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,41,1,1,1,1,2,1,6,-1,1,3
9000013068,1,2,2,9.00001E+11,1,2,1,1,1,2,-9,2,3,17,1,90,1900,2030,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,1,2,1,-1,-1,-1,1,1,94.26724674,2636050.151,0,1041517.997,9.00001E+13,94.26724674,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,41,1,1,1,1,2,1,6,-1,1,3
9000013068,2,1,1,9.00001E+11,1,-1,1,1,1,2,330,2,3,1,50,90,1200,1330,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,2,1,1,-1,-1,-1,17,1,95.20882536,1919318.468,0,718934.9027,9.00001E+13,-1,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,40,2,2,1,1,2,2,6,97,2,3
9000013068,2,2,2,9.00001E+11,1,-1,1,1,1,2,-9,2,3,17,1,90,1900,2030,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,2,1,1,-1,-1,-1,1,1,94.26724674,1919318.468,0,718934.9027,9.00001E+13,-1,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,40,2,2,1,1,2,2,6,97,2,3
9000013068,3,1,1,9.00001E+11,1,-1,1,1,1,2,330,2,3,1,50,90,1200,1330,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,2,1,1,-1,-1,-1,17,1,95.20882536,3028127.951,0,1458405.154,9.00001E+13,-1,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,6,1,-1,-1,1,2,2,-1,-1,1,3
9000013068,3,2,2,9.00001E+11,1,-1,1,1,1,2,-9,2,3,17,1,90,1900,2030,1,1,3,5,1,1,1,1,1,-1,-1,-1,-1,-1,0,5,1,2,1,1,-1,-1,-1,1,1,94.26724674,3028127.951,0,1458405.154,9.00001E+13,-1,350.2,8,2,1,2,1,1,2,2,12,10,1,5,2,4,2,4,4,6,2,202202,1,1022,6,1,-1,-1,1,2,2,-1,-1,1,3
9000013081,1,1,1,9.00001E+11,1,2,1,2,5,2,75,2,4,1,30,20,1025,1045,1,1,3,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,11,2,9.311995028,3134381.095,5680089.895,0,9.00001E+13,9.311995028,344.9,6,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,62,2,2,1,1,2,1,3,5,2,3
9000013081,1,2,2,9.00001E+11,1,2,1,2,5,2,60,2,5,11,40,15,1200,1215,1,1,3,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,13,2,2.480422623,3134381.095,5680089.895,0,9.00001E+13,2.480422623,344.9,3,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,62,2,2,1,1,2,1,3,5,2,3
9000013081,1,3,3,9.00001E+11,1,2,1,2,5,2,-9,2,2,13,1,20,1315,1335,1,1,3,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,1,1,8.615288999,3134381.095,5680089.895,0,9.00001E+13,8.615288999,344.9,6,2,2,2,1,1,2,2,13,6,1,2,3,10,3,3,4,6,2,202202,1,1022,62,2,2,1,1,2,1,3,5,2,3
