region,road_class,tech,vintage,capacity,units
MB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2005,0.7449298845183141,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2010,2.3982574790853133,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2015,4.77701882110608,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2020,4.649438276204237,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2023,4.134300315971634,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2000,1.28139462339245,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2005,16.98672581390833,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2010,54.68775394172772,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2015,114.7460975868342,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2020,127.02470267165576,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2023,79.33823619416249,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2015,0.13356425905328087,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2020,0.9315105825354658,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2023,4.9210685719415315,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2015,0.001612999646498534,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2020,0.12046898527495936,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2023,0.910288254331751,k vehicles
NB,cars,T_LDV_C_BEV150_EX,2015,0.010532199472713076,k vehicles
NB,cars,T_LDV_C_BEV150_EX,2020,0.17877033807601375,k vehicles
NB,cars,T_LDV_C_BEV150_EX,2023,1.0745079604094288,k vehicles
NB,cars,T_LDV_C_DSL_EX,2000,0.022674792357734026,k vehicles
NB,cars,T_LDV_C_DSL_EX,2005,0.26093546495485914,k vehicles
NB,cars,T_LDV_C_DSL_EX,2010,0.5340141141432793,k vehicles
NB,cars,T_LDV_C_DSL_EX,2015,1.1624214250186407,k vehicles
NB,cars,T_LDV_C_DSL_EX,2020,0.05932921707224827,k vehicles
NB,cars,T_LDV_C_GSL_EX,2000,1.6071256337762363,k vehicles
NB,cars,T_LDV_C_GSL_EX,2005,18.494373305572473,k vehicles
NB,cars,T_LDV_C_GSL_EX,2010,37.849421423488565,k vehicles
NB,cars,T_LDV_C_GSL_EX,2015,64.38518374211893,k vehicles
NB,cars,T_LDV_C_GSL_EX,2020,62.813537214952845,k vehicles
NB,cars,T_LDV_C_GSL_EX,2023,29.763498951843502,k vehicles
NB,cars,T_LDV_C_GSL_HEV_EX,2015,1.040298441213904,k vehicles
NB,cars,T_LDV_C_GSL_HEV_EX,2020,0.930956512356443,k vehicles
NB,cars,T_LDV_C_GSL_HEV_EX,2023,1.9510670512968389,k vehicles
NB,cars,T_LDV_C_GSL_PHEV35_EX,2015,0.022319928166891663,k vehicles
NB,cars,T_LDV_C_GSL_PHEV35_EX,2020,0.15685057294271815,k vehicles
NB,cars,T_LDV_C_GSL_PHEV35_EX,2023,0.2861817107657879,k vehicles
NB,freight_light_trucks,T_LDV_LTF_DSL_EX,2000,0.005071211360037844,k vehicles
NB,freight_light_trucks,T_LDV_LTF_DSL_EX,2005,0.06722618882954148,k vehicles
NB,freight_light_trucks,T_LDV_LTF_DSL_EX,2010,0.21643071851668433,k vehicles
NB,freight_light_trucks,T_LDV_LTF_DSL_EX,2015,0.5944111978559053,k vehicles
NB,freight_light_trucks,T_LDV_LTF_DSL_EX,2020,0.7568685916086583,k vehicles
NB,freight_light_trucks,T_LDV_LTF_DSL_EX,2023,0.7465352465336574,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_EX,2000,0.24562949111596302,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_EX,2005,3.2561716283390485,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_EX,2010,10.48305098660267,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_EX,2015,21.810634850180428,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_EX,2020,23.90674595066235,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_EX,2023,15.03389027557288,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2015,0.021969212613351823,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2020,0.2080930120047777,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2023,0.9615240683344186,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_PHEV35_EX,2020,0.017991223410941587,k vehicles
NB,freight_light_trucks,T_LDV_LTF_GSL_PHEV35_EX,2023,0.22753061576391082,k vehicles
NB,heavy_trucks,T_HDV_T_DSL_EX,2000,0.09053647612664828,k vehicles
NB,heavy_trucks,T_HDV_T_DSL_EX,2005,0.9525853261846746,k vehicles
NB,heavy_trucks,T_HDV_T_DSL_EX,2010,1.6905076662798106,k vehicles
NB,heavy_trucks,T_HDV_T_DSL_EX,2015,2.825760702551614,k vehicles
NB,heavy_trucks,T_HDV_T_DSL_EX,2020,3.984305784853786,k vehicles
NB,heavy_trucks,T_HDV_T_DSL_EX,2023,2.706304044003467,k vehicles
NB,medium_trucks,T_MDV_T_DSL_EX,2000,0.14609870430900482,k vehicles
NB,medium_trucks,T_MDV_T_DSL_EX,2005,1.5371868649346323,k vehicles
NB,medium_trucks,T_MDV_T_DSL_EX,2010,2.7279720863271377,k vehicles
NB,medium_trucks,T_MDV_T_DSL_EX,2015,4.559929820469119,k vehicles
NB,medium_trucks,T_MDV_T_DSL_EX,2020,6.401480651233509,k vehicles
NB,medium_trucks,T_MDV_T_DSL_EX,2023,4.362855755460132,k vehicles
NB,medium_trucks,T_MDV_T_GSL_EX,2000,0.07802526618410617,k vehicles
NB,medium_trucks,T_MDV_T_GSL_EX,2005,0.8209478302939601,k vehicles
NB,medium_trucks,T_MDV_T_GSL_EX,2010,1.4568968916267608,k vehicles
NB,medium_trucks,T_MDV_T_GSL_EX,2015,2.4352696329902854,k vehicles
NB,medium_trucks,T_MDV_T_GSL_EX,2020,3.4617089753535164,k vehicles
NB,medium_trucks,T_MDV_T_GSL_EX,2023,2.3366275208178386,k vehicles
NB,motorcycles,T_LDV_M_GSL_EX,2010,2.8935472327509144,k vehicles
NB,motorcycles,T_LDV_M_GSL_EX,2015,8.397023288958739,k vehicles
NB,motorcycles,T_LDV_M_GSL_EX,2020,8.178667205941268,k vehicles
NB,motorcycles,T_LDV_M_GSL_EX,2023,4.943762272349078,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_BEV300_EX,2020,0.044454855046950896,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_BEV300_EX,2023,0.9342511617930565,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2000,0.018067158751326272,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2005,0.2395061336628846,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2010,0.7710757593182558,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2015,2.1177033873714364,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2020,2.695041339146123,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2023,2.618420369655889,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2000,0.8751019618252456,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2005,11.600733149155735,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2010,37.347870740647764,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2015,77.70455110797795,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2020,85.13013953382887,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2023,52.74559355955739,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2015,0.0782695146676168,k vehicles
NB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2020,0.7406304585931553,k vehicles
