region,tech,vintage,capacity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
NB,T_LDV_C_GSL_EX,2015,64.38518374211893,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NB,T_LDV_C_GSL_HEV_EX,2015,1.040298441213904,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NB,T_LDV_C_GSL_PHEV35_EX,2015,0.022319928166891663,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NLLAB,T_LDV_C_BEV150_EX,2015,0.09590122978376485,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NLLAB,T_LDV_C_DSL_EX,2015,0.8844302101714386,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NLLAB,T_LDV_C_GSL_EX,2015,33.708844001153466,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NLLAB,T_LDV_C_GSL_HEV_EX,2015,0.7944769228131419,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NLLAB,T_LDV_C_GSL_PHEV35_EX,2015,0.08598447988276615,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NS,T_LDV_C_DSL_EX,2015,0.17531122071660304,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NS,T_LDV_C_GSL_EX,2015,97.2149416434874,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
