VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
MOTORCYCLE	YEAR	1930	0	9	30	0	1	1	0	0	41
MOTORCYCLE	YEAR	1929	2	10	28	0	1	0	0	0	41
MOTORCYCLE	YEAR	1928	0	4	14	0	0	0	0	0	18
MOTORCYCLE	YEAR	1927	2	1	7	0	2	0	0	0	12
MOTORCYCLE	YEAR	1926	0	5	7	0	0	0	0	0	12
MOTORCYCLE	YEAR	1925	0	2	4	0	0	0	0	0	6
MOTORCYCLE	YEAR	1924	0	3	3	0	0	0	0	0	6
MOTORCYCLE	YEAR	1923	1	0	5	0	0	0	0	1	7
MOTORCYCLE	YEAR	1922	0	2	2	0	0	0	0	0	4
MOTORCYCLE	YEAR	1920	0	2	4	0	1	0	0	0	7
MOTORCYCLE	YEAR	1919	0	0	3	0	0	0	0	0	3
MOTORCYCLE	YEAR	1918	0	1	4	0	0	1	0	0	6
MOTORCYCLE	YEAR	1917	0	1	3	0	0	0	0	0	4
MOTORCYCLE	YEAR	1916	0	0	5	0	1	0	0	0	6
MOTORCYCLE	YEAR	1915	1	1	2	0	0	0	0	0	4
MOTORCYCLE	YEAR	1914	0	0	5	0	0	0	0	0	5
MOTORCYCLE	YEAR	1913	0	2	2	0	1	0	0	0	5
MOTORCYCLE	YEAR	1912	0	2	1	0	0	0	0	0	3
MOTORCYCLE	YEAR	1911	0	0	1	0	0	0	0	0	1
MOTORCYCLE	YEAR	1909	0	1	0	0	0	0	0	0	1
MOTORCYCLE	YEAR	1908	0	2	2	0	0	0	0	0	4
MOTORCYCLE	YEAR	1905	0	1	0	0	0	0	0	0	1
MOTORCYCLE	YEAR	1904	0	1	0	0	0	0	0	0	1
MOTORCYCLE	YEAR	1903	0	2	0	0	0	0	0	0	2
MOTORCYCLE	YEAR	1900	1	11	0	0	1	0	0	0	13
MOPED	MOTIVE POWER	G	320	19455	790	83	482	548	1	14	21693
MOPED	MOTIVE POWER	OTHER	0	18	1	0	0	1	0	0	20
MOPED	YEAR	2022	1	0	0	0	0	0	0	0	1
MOPED	YEAR	2021	1	0	0	0	0	0	0	0	1
MOPED	YEAR	2020	1	0	0	0	0	0	0	0	1
MOPED	YEAR	2019	1	1	0	0	1	0	0	0	3
MOPED	YEAR	2018	1	2	2	0	0	0	0	0	5
MOPED	YEAR	2017	1	0	0	0	1	0	0	0	2
MOPED	YEAR	2016	5	1	1	0	4	1	0	0	12
MOPED	YEAR	2015	1	3	0	0	1	0	0	0	5
MOPED	YEAR	2014	1	4	1	0	1	0	0	0	7
MOPED	YEAR	2013	8	13	4	0	4	0	0	0	29
MOPED	YEAR	2012	2	4	3	0	0	1	0	0	10
MOPED	YEAR	2011	0	8	0	0	1	0	0	0	9
MOPED	YEAR	2010	3	29	5	0	2	0	0	0	39
MOPED	YEAR	2009	4	36	1	0	7	0	0	1	49
MOPED	YEAR	2008	2	27	1	0	5	1	0	2	38
MOPED	YEAR	2007	3	24	4	0	4	0	0	1	36
MOPED	YEAR	2006	15	147	12	0	14	0	0	1	189
MOPED	YEAR	2005	45	544	22	0	29	7	0	0	647
MOPED	YEAR	2004	10	148	12	0	10	6	0	0	186
MOPED	YEAR	2003	7	77	3	0	9	1	0	1	98
MOPED	YEAR	2002	11	162	8	0	6	2	0	0	189
MOPED	YEAR	2001	25	609	26	0	13	15	0	3	691
MOPED	YEAR	2000	11	205	10	0	9	4	0	0	239
MOPED	YEAR	1999	2	109	9	0	12	2	0	0	134
MOPED	YEAR	1998	0	14	1	0	4	0	0	0	19
MOPED	YEAR	1997	1	19	0	0	3	0	0	0	23
MOPED	YEAR	1996	3	11	0	0	3	0	0	0	17
MOPED	YEAR	1995	1	9	0	3	0	0	0	0	13
MOPED	YEAR	1994	0	30	0	0	1	0	0	0	31
MOPED	YEAR	1993	0	19	1	0	0	2	0	0	22
MOPED	YEAR	1992	1	18	1	0	0	1	0	0	21
MOPED	YEAR	1991	0	33	2	0	1	0	0	0	36
MOPED	YEAR	1990	3	44	1	0	4	0	0	0	52
MOPED	YEAR	1989	2	44	1	0	3	1	0	0	51
MOPED	YEAR	1988	1	32	4	0	1	0	0	0	38
MOPED	YEAR	1987	1	225	5	1	1	3	0	0	236
MOPED	YEAR	1986	3	184	14	0	9	6	0	0	216
MOPED	YEAR	1985	1	285	18	1	13	2	0	1	321
MOPED	YEAR	1984	3	191	20	1	11	3	0	1	230
MOPED	YEAR	1983	5	548	28	2	21	9	0	0	613
MOPED	YEAR	1982	12	767	32	0	25	16	0	0	852
MOPED	YEAR	1981	11	921	41	10	25	29	0	0	1037
MOPED	YEAR	1980	9	757	28	2	20	14	0	0	830
MOPED	YEAR	1979	10	826	35	2	29	21	0	0	923
MOPED	YEAR	1978	8	786	27	3	20	18	0	1	863
MOPED	YEAR	1977	5	1137	39	6	16	34	0	0	1237
MOPED	YEAR	1976	5	2031	70	10	29	76	0	0	2221
MOPED	YEAR	1975	40	6108	195	34	83	209	1	2	6672
MOPED	YEAR	1974	9	711	14	4	12	22	0	0	772
MOPED	YEAR	1973	4	225	7	0	2	10	0	0	248
MOPED	YEAR	1972	4	217	10	1	5	7	0	0	244
MOPED	YEAR	1971	3	289	15	0	2	9	0	0	318
MOPED	YEAR	1970	6	336	17	2	2	11	0	0	374
MOPED	YEAR	1969	2	88	2	0	1	0	0	0	93
MOPED	YEAR	1968	1	67	5	0	0	1	0	0	74
MOPED	YEAR	1967	1	27	1	0	0	0	0	0	29
MOPED	YEAR	1966	0	76	5	0	1	4	0	0	86
MOPED	YEAR	1965	1	52	5	1	0	0	0	0	59
MOPED	YEAR	1964	0	13	5	0	1	0	0	0	19
MOPED	YEAR	1963	0	26	0	0	0	0	0	0	26
MOPED	YEAR	1962	0	15	2	0	0	0	0	0	17
MOPED	YEAR	1961	0	12	3	0	0	0	0	0	15
MOPED	YEAR	1960	0	24	2	0	0	0	0	0	26
MOPED	YEAR	1959	0	12	1	0	0	0	0	0	13
MOPED	YEAR	1958	0	11	2	0	0	0	0	0	13
MOPED	YEAR	1957	0	6	2	0	0	0	0	0	8
MOPED	YEAR	1956	1	3	0	0	0	0	0	0	4
MOPED	YEAR	1955	0	9	1	0	0	0	0	0	10
MOPED	YEAR	1954	0	3	0	0	0	0	0	0	3
MOPED	YEAR	1953	0	6	0	0	0	0	0	0	6
MOPED	YEAR	1952	1	3	0	0	0	0	0	0	4
MOPED	YEAR	1951	0	4	0	0	0	0	0	0	4
MOPED	YEAR	1950	0	4	1	0	0	0	0	0	5
MOPED	YEAR	1949	0	1	2	0	0	0	0	0	3
MOPED	YEAR	1948	0	6	0	0	0	0	0	0	6
MOPED	YEAR	1947	0	8	1	0	0	0	0	0	9
MOPED	YEAR	1946	1	5	1	0	0	0	0	0	7
MOPED	YEAR	1943	0	0	0	0	0	1	0	0	1
MOPED	YEAR	1939	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1938	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1937	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1935	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1926	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1911	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1900	0	16	0	0	1	0	0	0	17
COMMERCIAL	AXLES	1	3600	22447	3554	4977	3684	792	0	268	39322
COMMERCIAL	AXLES	2	1423533	2486086	269170	546736	303445	85395	218	47649	5162232
