COUNTY	VEHICLE_CLASS	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
WELLINGTON	MOTORCYCLE	4849	7985	2216	28	460	206	2	102	15848
WELLINGTON	MOPED	5	403	17	1	6	7	0	0	439
WELLINGTON	COMMERCIAL	33382	58326	8484	16237	4959	3817	0	887	126092
WELLINGTON	BUS	231	342	91	182	14	52	0	3	915
WELLINGTON	TRAILER	64311	10313	545	68	1162	1557	0	0	77956
WELLINGTON	SNOW VEHICLE	5450	8724	0	35	94	369	0	0	14672
WELLINGTON	OFF ROAD	8732	2314	279	1	107	98	0	0	11531
HAMILTON-WENTWORTH	PASSENGER	273828	418145	52495	406132	23424	14592	13	5974	1194603
HAMILTON-WENTWORTH	MOTORCYCLE	7966	13460	3407	93	642	319	0	279	26166
HAMILTON-WENTWORTH	MOPED	12	704	17	3	7	14	0	2	759
HAMILTON-WENTWORTH	COMMERCIAL	50115	87716	10874	33185	7730	2509	1	1381	193511
HAMILTON-WENTWORTH	BUS	704	1429	249	337	157	54	0	8	2938
HAMILTON-WENTWORTH	TRAILER	91120	14437	818	113	1885	806	0	0	109179
HAMILTON-WENTWORTH	SNOW VEHICLE	3532	5413	0	19	67	225	0	0	9256
HAMILTON-WENTWORTH	OFF ROAD	8033	1662	42	1	76	42	0	0	9856
METRO TORONTO	PASSENGER	1051315	1504556	323062	759259	247312	63356	195	18388	3967443
METRO TORONTO	MOTORCYCLE	18533	39464	12609	209	3413	817	3	562	75610
METRO TORONTO	MOPED	57	2822	105	9	47	52	0	2	3094
METRO TORONTO	COMMERCIAL	116954	220052	44442	44580	31131	7476	18	2857	467510
METRO TORONTO	BUS	4530	7439	1110	273	469	105	0	140	14066
METRO TORONTO	TRAILER	161738	29523	4149	131	8761	1157	1	0	205460
METRO TORONTO	SNOW VEHICLE	6616	12348	2	42	253	272	0	0	19533
METRO TORONTO	OFF ROAD	12525	4864	1588	9	309	88	0	0	19383
YORK	PASSENGER	629798	649361	188629	302771	113788	23391	54	7786	1915578
YORK	MOTORCYCLE	11941	19539	9202	65	2804	290	5	337	44183
YORK	MOPED	19	659	39	3	7	18	0	1	746
YORK	COMMERCIAL	93524	138757	21845	28294	16069	5866	14	1845	306214
YORK	BUS	1596	2979	504	1449	309	105	0	55	6997
YORK	TRAILER	140880	21101	1425	113	7039	739	1	0	171298
YORK	SNOW VEHICLE	8768	14836	0	55	190	381	1	0	24231
YORK	OFF ROAD	16619	4702	972	3	292	114	0	0	22702
