,Charging Profile
718,468.4317223
719,538.7268936
720,207.1981254
721,146.1402461
722,162.8172611
723,117.4459152
724,115.3609341
725,184.9423299
726,324.2270721
727,583.8745348
728,703.9563083
729,708.1227106
730,514.6012594
731,336.9974987
732,249.3391782
733,182.5636444
734,161.6817319
735,269.4424956
736,396.2119893
737,528.239248
738,641.3655628
739,555.3730658
740,426.9700546
741,346.5317107
742,313.617835
743,333.0596675
744,207.1981254
745,146.1402461
746,162.8172611
747,117.4459152
748,115.3609341
749,184.9423299
750,324.2270721
751,583.8745348
752,703.9563083
753,708.1227106
754,514.6012594
755,336.9974987
756,249.3391782
757,182.5636444
758,161.6817319
759,269.4424956
760,396.2119893
761,528.239248
762,641.3655628
763,555.3730658
764,426.9700546
765,346.5317107
766,313.617835
767,333.0596675
768,212.4721277
769,160.1661613
770,131.4187172
771,143.7833087
772,136.5912663
773,116.1501046
774,294.0742786
775,612.4520029
776,640.4663731
777,590.2064193
778,407.7357057
779,330.3593912
780,252.2656195
781,181.9528357
782,177.7920523
783,282.8644213
784,440.4919918
785,569.2599166
786,642.9513982
787,677.9881246
788,422.2859382
789,299.6294355
790,295.4846204
791,316.1628145
792,212.4721277
793,160.1661613
794,131.4187172
795,143.7833087
796,136.5912663
797,116.1501046
798,294.0742786
799,612.4520029
800,640.4663731
801,590.2064193
802,407.7357057
803,330.3593912
804,252.2656195
805,181.9528357
806,177.7920523
807,282.8644213
808,440.4919918
809,569.2599166
810,642.9513982
811,677.9881246
812,422.2859382
813,299.6294355
814,295.4846204
815,316.1628145
816,212.4721277
817,160.1661613
818,131.4187172
819,143.7833087
820,136.5912663
821,116.1501046
822,294.0742786
823,612.4520029
824,640.4663731
825,590.2064193
826,407.7357057
827,330.3593912
828,252.2656195
829,181.9528357
830,177.7920523
831,282.8644213
832,440.4919918
833,569.2599166
834,642.9513982
835,677.9881246
836,422.2859382
837,299.6294355
838,295.4846204
839,316.1628145
840,173.2327156
841,161.9191625
842,220.6469283
843,205.5551673
844,234.3967959
845,192.9450647
846,340.9618531
847,562.5645358
848,603.4991749
849,554.2139535
850,523.1657253
851,405.7465787
852,283.7764343
853,195.4771754
854,161.3260977
855,320.4371953
856,460.8043792
857,611.965543
858,626.0231683
859,584.8192319
860,455.5932041
861,363.0121459
862,312.0071325
863,300.6004942
864,173.2327156
865,161.9191625
866,220.6469283
867,205.5551673
868,234.3967959
869,192.9450647
870,340.9618531
871,562.5645358
