weight_bin,midpoint_kg,pct_trucks
"(30000, 30100]",30050.0,0.0
"(30100, 30200]",30150.0,0.0
"(30200, 30300]",30250.0,0.0
"(30300, 30400]",30350.0,0.0
"(30400, 30500]",30450.0,0.0
"(30500, 30600]",30550.0,0.0
"(30600, 30700]",30650.0,0.0
"(30700, 30800]",30750.0,0.0
"(30800, 30900]",30850.0,0.0
"(30900, 31000]",30950.0,0.0
"(31000, 31100]",31050.0,0.0
"(31100, 31200]",31150.0,0.0
"(31200, 31300]",31250.0,0.0
"(31300, 31400]",31350.0,0.0
"(31400, 31500]",31450.0,0.0
"(31500, 31600]",31550.0,0.0
"(31600, 31700]",31650.0,0.0
"(31700, 31800]",31750.0,0.0
"(31800, 31900]",31850.0,0.0
"(31900, 32000]",31950.0,0.0
"(32000, 32100]",32050.0,0.0
"(32100, 32200]",32150.0,0.0
"(32200, 32300]",32250.0,0.0
"(32300, 32400]",32350.0,0.0
"(32400, 32500]",32450.0,0.0
"(32500, 32600]",32550.0,0.0
"(32600, 32700]",32650.0,0.0
"(32700, 32800]",32750.0,0.0
"(32800, 32900]",32850.0,0.0
"(32900, 33000]",32950.0,0.0
"(33000, 33100]",33050.0,0.0
"(33100, 33200]",33150.0,0.0
"(33200, 33300]",33250.0,0.0
"(33300, 33400]",33350.0,0.0
"(33400, 33500]",33450.0,0.0
"(33500, 33600]",33550.0,0.0
"(33600, 33700]",33650.0,0.0
"(33700, 33800]",33750.0,0.0
"(33800, 33900]",33850.0,0.0
"(33900, 34000]",33950.0,0.0
"(34000, 34100]",34050.0,0.0
"(34100, 34200]",34150.0,0.0
"(34200, 34300]",34250.0,0.0
"(34300, 34400]",34350.0,0.0
"(34400, 34500]",34450.0,0.0
"(34500, 34600]",34550.0,0.0
"(34600, 34700]",34650.0,0.0
"(34700, 34800]",34750.0,0.0
"(34800, 34900]",34850.0,0.0
"(34900, 35000]",34950.0,0.0
"(35000, 35100]",35050.0,0.0
"(35100, 35200]",35150.0,0.0
"(35200, 35300]",35250.0,0.0
"(35300, 35400]",35350.0,0.0
"(35400, 35500]",35450.0,0.0
"(35500, 35600]",35550.0,0.0
"(35600, 35700]",35650.0,0.0
"(35700, 35800]",35750.0,0.0
"(35800, 35900]",35850.0,0.0
"(35900, 36000]",35950.0,0.0
"(36000, 36100]",36050.0,0.0
"(36100, 36200]",36150.0,0.0
