region,road_class,tech_or_group,vintage,period,period_step,output_comm,operator,factor,baseline_utilization,age_first_year,age_last_year,unit,data_source,data_id,dq_cred,dq_geog,dq_struc,dq_tech,dq_time
AB,cars,T_LDV_C_BEV150_N,2035,2040,5,T_D_pkm_ldv_c,e,0.004008230020161559,0.005178687568448021,6,10,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2035,2045,5,T_D_pkm_ldv_c,e,0.003480473554355519,0.005178687568448021,11,15,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2040,2040,5,T_D_pkm_ldv_c,e,0.00468488757683781,0.005178687568448021,1,5,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2040,2045,5,T_D_pkm_ldv_c,e,0.004008230020161559,0.005178687568448021,6,10,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2045,2045,5,T_D_pkm_ldv_c,e,0.00468488757683781,0.005178687568448021,1,5,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV200_N,2025,2025,5,T_D_pkm_ldv_c,e,0.00468488757683781,0.005178687568448021,1,5,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV200_N,2025,2030,5,T_D_pkm_ldv_c,e,0.004008230020161559,0.005178687568448021,6,10,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV200_N,2025,2035,5,T_D_pkm_ldv_c,e,0.003480473554355519,0.005178687568448021,11,15,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV200_N,2025,2040,5,T_D_pkm_ldv_c,e,0.0030379985783401515,0.005178687568448021,16,20,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV200_N,2025,2045,5,T_D_pkm_ldv_c,e,0.0026169903388853642,0.005178687568448021,21,25,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
