region,nrcan_ceud_class,age,weighted_vmt_km,normalized_utilization,weight_source
BCT,Light Truck,3,24573.372683181056,0.9041277212535844,ontario_mto
BCT,Light Truck,4,23771.27902557273,0.8746163017087322,ontario_mto
BCT,Light Truck,5,22998.060736561853,0.8461672931543027,ontario_mto
BCT,Light Truck,6,22255.39364128936,0.8188423541988001,ontario_mto
BCT,Light Truck,7,21542.120592610943,0.7925989099452321,ontario_mto
BCT,Light Truck,8,20855.475099382307,0.7673351729276936,ontario_mto
BCT,Light Truck,9,20195.90935845914,0.7430677808181055,ontario_mto
BCT,Light Truck,10,19561.042594411912,0.7197091377828935,ontario_mto
BCT,Light Truck,11,18950.94128838155,0.6972616898616478,ontario_mto
BCT,Light Truck,12,18363.22466493852,0.6756378412207941,ontario_mto
BCT,Light Truck,13,17798.34492093852,0.6548542295322535,ontario_mto
BCT,Light Truck,14,17253.14984952248,0.6347948756977899,ontario_mto
BCT,Light Truck,15,16727.639450690396,0.6154597797174033,ontario_mto
BCT,Light Truck,16,16222.3324024389,0.5968680253026056,ontario_mto
BCT,Light Truck,17,15732.400672767986,0.5788419747466569,ontario_mto
BCT,Light Truck,18,15259.520086818588,0.5614432866580611,ontario_mto
BCT,Light Truck,19,14802.533497446402,0.544629386139826,ontario_mto
BCT,Light Truck,20,14359.06012922189,0.528312677358377,ontario_mto
BCT,Light Truck,21,13928.328550715521,0.5124647770490528,ontario_mto
BCT,Light Truck,22,13509.633811638689,0.4970597479867826,ontario_mto
BCT,Light Truck,23,13102.204480561853,0.48206920690690486,ontario_mto
BCT,Light Truck,24,12704.045497770252,0.46741974960817584,ontario_mto
BCT,Light Truck,25,12313.614000404812,0.4530546095612727,ontario_mto
BCT,Medium Trucks,0,36887.35918661296,0.9028314917484078,national_wards
BCT,Medium Trucks,1,40491.35814375565,0.9910406730637702,national_wards
BCT,Medium Trucks,2,40857.41306517514,1.0,national_wards
BCT,Medium Trucks,3,39218.505337555405,0.959887139085253,national_wards
BCT,Medium Trucks,4,36436.19561489739,0.8917890997350937,national_wards
BCT,Medium Trucks,5,33172.869887926696,0.8119180192590711,national_wards
BCT,Medium Trucks,6,30202.790231841936,0.7392242427013892,national_wards
BCT,Medium Trucks,7,27501.851841930322,0.673117796226104,national_wards
BCT,Medium Trucks,8,25043.32711951589,0.6129445121639773,national_wards
