tech I_SMELTING_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

23-Sep-24 17:59:29 | pricing_check | INFO | Finished Price Checking Build Action
23-Sep-24 17:59:29 | run_actions | INFO | Starting the solve process using gurobi solver on model unknown
23-Sep-24 18:03:27 | run_actions | INFO | Solve process complete
23-Sep-24 18:03:27 | run_actions | INFO | The solver reported status as: optimal
23-Sep-24 18:03:49 | run_actions | INFO | TotalCost value: 1859841.68
